Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Bihor, 28610 SANIOB, Anul 2026, Numar persoane, 2223
Total, Total, Bihor, 26582 SANMARTIN, Anul 2026, Numar persoane, 14732
Total, Total, Bihor, 32179 SANNICOLAU ROMAN, Anul 2026, Numar persoane, 2399
Total, Total, Bihor, 26653 SANTANDREI, Anul 2026, Numar persoane, 10377
Total, Total, Bihor, 31128 SARBI, Anul 2026, Numar persoane, 2329
Total, Total, Bihor, 31333 SIMIAN, Anul 2026, Numar persoane, 3940
Total, Total, Bihor, 31379 SINTEU, Anul 2026, Numar persoane, 1023
Total, Total, Bihor, 31422 SOIMI, Anul 2026, Numar persoane, 2316
Total, Total, Bihor, 31208 SPINUS, Anul 2026, Numar persoane, 1080
Total, Total, Bihor, 31510 SUNCUIUS, Anul 2026, Numar persoane, 2832
Total, Total, Bihor, 31262 SUPLACU DE BARCAU, Anul 2026, Numar persoane, 4173
Total, Total, Bihor, 32153 TAMASEU, Anul 2026, Numar persoane, 2099
Total, Total, Bihor, 31609 TARCAIA, Anul 2026, Numar persoane, 1842
Total, Total, Bihor, 31565 TARCEA, Anul 2026, Numar persoane, 2596
Total, Total, Bihor, 31654 TAUTEU, Anul 2026, Numar persoane, 4386
Total, Total, Bihor, 31878 TETCHEA, Anul 2026, Numar persoane, 3275
Total, Total, Bihor, 31716 TILEAGD, Anul 2026, Numar persoane, 6775
Total, Total, Bihor, 31789 TINCA, Anul 2026, Numar persoane, 8014
Total, Total, Bihor, 32201 TOBOLIU, Anul 2026, Numar persoane, 2128
Total, Total, Bihor, 31841 TULCA, Anul 2026, Numar persoane, 2711
Total, Total, Bihor, 31921 UILEACU DE BEIUS, Anul 2026, Numar persoane, 1812
Total, Total, Bihor, 31976 VADU CRISULUI, Anul 2026, Numar persoane, 3886
Total, Total, Bihor, 32090 VARCIOROG, Anul 2026, Numar persoane, 1811
Total, Total, Bihor, 32045 VIISOARA, Anul 2026, Numar persoane, 1251
65-69 ani, Total, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2026, Numar persoane, 13959
65-69 ani, Total, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2026, Numar persoane, 668
65-69 ani, Total, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2026, Numar persoane, 1119
65-69 ani, Total, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2026, Numar persoane, 1112
