Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Municipiul Bucuresti, 179132 MUNICIPIUL BUCURESTI, Anul 2026, Numar persoane, 2108049
65-69 ani, Total, Municipiul Bucuresti, 179132 MUNICIPIUL BUCURESTI, Anul 2026, Numar persoane, 126370
70-74 ani, Total, Municipiul Bucuresti, 179132 MUNICIPIUL BUCURESTI, Anul 2026, Numar persoane, 122788
75-79 ani, Total, Municipiul Bucuresti, 179132 MUNICIPIUL BUCURESTI, Anul 2026, Numar persoane, 81809
80-84 ani, Total, Municipiul Bucuresti, 179132 MUNICIPIUL BUCURESTI, Anul 2026, Numar persoane, 41639
85 ani si peste, Total, Municipiul Bucuresti, 179132 MUNICIPIUL BUCURESTI, Anul 2026, Numar persoane, 53995
