Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
65-69 ani, Total, Alba, 1017 MUNICIPIUL ALBA IULIA, Anul 2026, Numar persoane, 5082
65-69 ani, Total, Alba, 1213 MUNICIPIUL AIUD, Anul 2026, Numar persoane, 1736
65-69 ani, Total, Alba, 1348 MUNICIPIUL BLAJ, Anul 2026, Numar persoane, 1239
65-69 ani, Total, Alba, 1874 MUNICIPIUL SEBES, Anul 2026, Numar persoane, 1844
65-69 ani, Total, Alba, 1151 ORAS ABRUD, Anul 2026, Numar persoane, 331
65-69 ani, Total, Alba, 2915 ORAS BAIA DE ARIES, Anul 2026, Numar persoane, 262
65-69 ani, Total, Alba, 1455 ORAS CAMPENI, Anul 2026, Numar persoane, 482
65-69 ani, Total, Alba, 1696 ORAS CUGIR, Anul 2026, Numar persoane, 2013
65-69 ani, Total, Alba, 1794 ORAS OCNA MURES, Anul 2026, Numar persoane, 816
65-69 ani, Total, Alba, 8096 ORAS TEIUS, Anul 2026, Numar persoane, 371
65-69 ani, Total, Alba, 1936 ORAS ZLATNA, Anul 2026, Numar persoane, 467
65-69 ani, Total, Alba, 2130 ALBAC, Anul 2026, Numar persoane, 105
65-69 ani, Total, Alba, 2309 ALMASU MARE, Anul 2026, Numar persoane, 84
65-69 ani, Total, Alba, 2381 ARIESENI, Anul 2026, Numar persoane, 88
65-69 ani, Total, Alba, 2577 AVRAM IANCU, Anul 2026, Numar persoane, 64
65-69 ani, Total, Alba, 2988 BERGHIN, Anul 2026, Numar persoane, 104
65-69 ani, Total, Alba, 3039 BISTRA, Anul 2026, Numar persoane, 251
65-69 ani, Total, Alba, 3397 BLANDIANA, Anul 2026, Numar persoane, 56
65-69 ani, Total, Alba, 9026 BUCERDEA GRANOASA, Anul 2026, Numar persoane, 133
65-69 ani, Total, Alba, 3459 BUCIUM, Anul 2026, Numar persoane, 111
65-69 ani, Total, Alba, 4106 CALNIC, Anul 2026, Numar persoane, 104
65-69 ani, Total, Alba, 3761 CENADE, Anul 2026, Numar persoane, 34
65-69 ani, Total, Alba, 3805 CERGAU, Anul 2026, Numar persoane, 74
65-69 ani, Total, Alba, 3841 CERU-BACAINTI, Anul 2026, Numar persoane, 16
65-69 ani, Total, Alba, 3958 CETATEA DE BALTA, Anul 2026, Numar persoane, 136
65-69 ani, Total, Alba, 1071 CIUGUD, Anul 2026, Numar persoane, 179
65-69 ani, Total, Alba, 4008 CIURULEASA, Anul 2026, Numar persoane, 50
65-69 ani, Total, Alba, 4188 CRACIUNELU DE JOS, Anul 2026, Numar persoane, 111
65-69 ani, Total, Alba, 4142 CRICAU, Anul 2026, Numar persoane, 110
65-69 ani, Total, Alba, 9019 CUT, Anul 2026, Numar persoane, 73
65-69 ani, Total, Alba, 4240 DAIA ROMANA, Anul 2026, Numar persoane, 188
65-69 ani, Total, Alba, 4268 DOSTAT, Anul 2026, Numar persoane, 33
65-69 ani, Total, Alba, 4302 FARAU, Anul 2026, Numar persoane, 75
65-69 ani, Total, Alba, 4366 GALDA DE JOS, Anul 2026, Numar persoane, 261
65-69 ani, Total, Alba, 4482 GARBOVA, Anul 2026, Numar persoane, 103
65-69 ani, Total, Alba, 4525 GARDA DE SUS, Anul 2026, Numar persoane, 89
65-69 ani, Total, Alba, 4703 HOPARTA, Anul 2026, Numar persoane, 43
65-69 ani, Total, Alba, 4767 HOREA, Anul 2026, Numar persoane, 91
65-69 ani, Total, Alba, 4927 IGHIU, Anul 2026, Numar persoane, 377
65-69 ani, Total, Alba, 4981 INTREGALDE, Anul 2026, Numar persoane, 34
65-69 ani, Total, Alba, 5103 JIDVEI, Anul 2026, Numar persoane, 227
65-69 ani, Total, Alba, 5167 LIVEZILE, Anul 2026, Numar persoane, 75
65-69 ani, Total, Alba, 5210 LOPADEA NOUA, Anul 2026, Numar persoane, 167
65-69 ani, Total, Alba, 5309 LUNCA MURESULUI, Anul 2026, Numar persoane, 120
65-69 ani, Total, Alba, 5336 LUPSA, Anul 2026, Numar persoane, 189
65-69 ani, Total, Alba, 5577 METES, Anul 2026, Numar persoane, 166
65-69 ani, Total, Alba, 5700 MIHALT, Anul 2026, Numar persoane, 191
65-69 ani, Total, Alba, 5755 MIRASLAU, Anul 2026, Numar persoane, 114
65-69 ani, Total, Alba, 5826 MOGOS, Anul 2026, Numar persoane, 38
65-69 ani, Total, Alba, 6048 NOSLAC, Anul 2026, Numar persoane, 92
65-69 ani, Total, Alba, 6119 OCOLIS, Anul 2026, Numar persoane, 27
65-69 ani, Total, Alba, 6164 OHABA, Anul 2026, Numar persoane, 25
65-69 ani, Total, Alba, 6217 PIANU, Anul 2026, Numar persoane, 210
65-69 ani, Total, Alba, 6271 POIANA VADULUI, Anul 2026, Numar persoane, 49
65-69 ani, Total, Alba, 6397 PONOR, Anul 2026, Numar persoane, 33
65-69 ani, Total, Alba, 6468 POSAGA, Anul 2026, Numar persoane, 65
65-69 ani, Total, Alba, 6547 RADESTI, Anul 2026, Numar persoane, 81
65-69 ani, Total, Alba, 6627 RAMET, Anul 2026, Numar persoane, 34
65-69 ani, Total, Alba, 6592 RAMETEA, Anul 2026, Numar persoane, 53
65-69 ani, Total, Alba, 6930 ROSIA DE SECAS, Anul 2026, Numar persoane, 46
65-69 ani, Total, Alba, 6761 ROSIA MONTANA, Anul 2026, Numar persoane, 148
65-69 ani, Total, Alba, 6976 SALCIUA, Anul 2026, Numar persoane, 97
65-69 ani, Total, Alba, 7044 SALISTEA, Anul 2026, Numar persoane, 116
65-69 ani, Total, Alba, 7348 SANCEL, Anul 2026, Numar persoane, 144
65-69 ani, Total, Alba, 7384 SANTIMBRU, Anul 2026, Numar persoane, 166
65-69 ani, Total, Alba, 7099 SASCIORI, Anul 2026, Numar persoane, 290
65-69 ani, Total, Alba, 7197 SCARISOARA, Anul 2026, Numar persoane, 90
65-69 ani, Total, Alba, 7810 SIBOT, Anul 2026, Numar persoane, 172
65-69 ani, Total, Alba, 7446 SOHODOL, Anul 2026, Numar persoane, 112
65-69 ani, Total, Alba, 7865 SONA, Anul 2026, Numar persoane, 229
65-69 ani, Total, Alba, 7945 SPRING, Anul 2026, Numar persoane, 155
65-69 ani, Total, Alba, 7767 STREMT, Anul 2026, Numar persoane, 132
65-69 ani, Total, Alba, 8014 SUGAG, Anul 2026, Numar persoane, 157
65-69 ani, Total, Alba, 8158 UNIREA, Anul 2026, Numar persoane, 258
65-69 ani, Total, Alba, 8229 VADU MOTILOR, Anul 2026, Numar persoane, 58
65-69 ani, Total, Alba, 8354 VALEA LUNGA, Anul 2026, Numar persoane, 165
65-69 ani, Total, Alba, 8425 VIDRA, Anul 2026, Numar persoane, 93
65-69 ani, Total, Alba, 8826 VINTU DE JOS, Anul 2026, Numar persoane, 311
70-74 ani, Total, Alba, 1017 MUNICIPIUL ALBA IULIA, Anul 2026, Numar persoane, 4639
70-74 ani, Total, Alba, 1213 MUNICIPIUL AIUD, Anul 2026, Numar persoane, 1686
70-74 ani, Total, Alba, 1348 MUNICIPIUL BLAJ, Anul 2026, Numar persoane, 1221
70-74 ani, Total, Alba, 1874 MUNICIPIUL SEBES, Anul 2026, Numar persoane, 1791
70-74 ani, Total, Alba, 1151 ORAS ABRUD, Anul 2026, Numar persoane, 296
70-74 ani, Total, Alba, 2915 ORAS BAIA DE ARIES, Anul 2026, Numar persoane, 178
70-74 ani, Total, Alba, 1455 ORAS CAMPENI, Anul 2026, Numar persoane, 403
70-74 ani, Total, Alba, 1696 ORAS CUGIR, Anul 2026, Numar persoane, 1780
70-74 ani, Total, Alba, 1794 ORAS OCNA MURES, Anul 2026, Numar persoane, 709
70-74 ani, Total, Alba, 8096 ORAS TEIUS, Anul 2026, Numar persoane, 363
70-74 ani, Total, Alba, 1936 ORAS ZLATNA, Anul 2026, Numar persoane, 399
70-74 ani, Total, Alba, 2130 ALBAC, Anul 2026, Numar persoane, 60
70-74 ani, Total, Alba, 2309 ALMASU MARE, Anul 2026, Numar persoane, 65
70-74 ani, Total, Alba, 2381 ARIESENI, Anul 2026, Numar persoane, 80
70-74 ani, Total, Alba, 2577 AVRAM IANCU, Anul 2026, Numar persoane, 65
70-74 ani, Total, Alba, 2988 BERGHIN, Anul 2026, Numar persoane, 105
70-74 ani, Total, Alba, 3039 BISTRA, Anul 2026, Numar persoane, 180
70-74 ani, Total, Alba, 3397 BLANDIANA, Anul 2026, Numar persoane, 55
70-74 ani, Total, Alba, 9026 BUCERDEA GRANOASA, Anul 2026, Numar persoane, 107
70-74 ani, Total, Alba, 3459 BUCIUM, Anul 2026, Numar persoane, 95
70-74 ani, Total, Alba, 4106 CALNIC, Anul 2026, Numar persoane, 83
70-74 ani, Total, Alba, 3761 CENADE, Anul 2026, Numar persoane, 37
70-74 ani, Total, Alba, 3805 CERGAU, Anul 2026, Numar persoane, 70
70-74 ani, Total, Alba, 3841 CERU-BACAINTI, Anul 2026, Numar persoane, 25
70-74 ani, Total, Alba, 3958 CETATEA DE BALTA, Anul 2026, Numar persoane, 126
70-74 ani, Total, Alba, 1071 CIUGUD, Anul 2026, Numar persoane, 208
70-74 ani, Total, Alba, 4008 CIURULEASA, Anul 2026, Numar persoane, 77
70-74 ani, Total, Alba, 4188 CRACIUNELU DE JOS, Anul 2026, Numar persoane, 97
70-74 ani, Total, Alba, 4142 CRICAU, Anul 2026, Numar persoane, 122
70-74 ani, Total, Alba, 9019 CUT, Anul 2026, Numar persoane, 73
70-74 ani, Total, Alba, 4240 DAIA ROMANA, Anul 2026, Numar persoane, 164
70-74 ani, Total, Alba, 4268 DOSTAT, Anul 2026, Numar persoane, 26
70-74 ani, Total, Alba, 4302 FARAU, Anul 2026, Numar persoane, 75
70-74 ani, Total, Alba, 4366 GALDA DE JOS, Anul 2026, Numar persoane, 229
70-74 ani, Total, Alba, 4482 GARBOVA, Anul 2026, Numar persoane, 69
70-74 ani, Total, Alba, 4525 GARDA DE SUS, Anul 2026, Numar persoane, 78
70-74 ani, Total, Alba, 4703 HOPARTA, Anul 2026, Numar persoane, 59
70-74 ani, Total, Alba, 4767 HOREA, Anul 2026, Numar persoane, 68
70-74 ani, Total, Alba, 4927 IGHIU, Anul 2026, Numar persoane, 328
70-74 ani, Total, Alba, 4981 INTREGALDE, Anul 2026, Numar persoane, 31
70-74 ani, Total, Alba, 5103 JIDVEI, Anul 2026, Numar persoane, 187
70-74 ani, Total, Alba, 5167 LIVEZILE, Anul 2026, Numar persoane, 75
70-74 ani, Total, Alba, 5210 LOPADEA NOUA, Anul 2026, Numar persoane, 173
70-74 ani, Total, Alba, 5309 LUNCA MURESULUI, Anul 2026, Numar persoane, 100
70-74 ani, Total, Alba, 5336 LUPSA, Anul 2026, Numar persoane, 139
70-74 ani, Total, Alba, 5577 METES, Anul 2026, Numar persoane, 169
