Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Cluj, 59942 VAD, Anul 2026, Numar persoane, 1957
Total, Total, Cluj, 60026 VALEA IERII, Anul 2026, Numar persoane, 856
Total, Total, Cluj, 60062 VIISOARA, Anul 2026, Numar persoane, 5899
Total, Total, Cluj, 60099 VULTURENI, Anul 2026, Numar persoane, 1502
65-69 ani, Total, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2026, Numar persoane, 20199
65-69 ani, Total, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2026, Numar persoane, 1678
65-69 ani, Total, Cluj, 55008 MUNICIPIUL DEJ, Anul 2026, Numar persoane, 2232
65-69 ani, Total, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2026, Numar persoane, 1337
65-69 ani, Total, Cluj, 55259 MUNICIPIUL TURDA, Anul 2026, Numar persoane, 3454
65-69 ani, Total, Cluj, 55446 ORAS HUEDIN, Anul 2026, Numar persoane, 506
65-69 ani, Total, Cluj, 55473 AGHIRESU, Anul 2026, Numar persoane, 394
65-69 ani, Total, Cluj, 55598 AITON, Anul 2026, Numar persoane, 57
65-69 ani, Total, Cluj, 55623 ALUNIS, Anul 2026, Numar persoane, 44
65-69 ani, Total, Cluj, 55687 APAHIDA, Anul 2026, Numar persoane, 747
65-69 ani, Total, Cluj, 55776 ASCHILEU, Anul 2026, Numar persoane, 80
65-69 ani, Total, Cluj, 55838 BACIU, Anul 2026, Numar persoane, 596
65-69 ani, Total, Cluj, 55918 BAISOARA, Anul 2026, Numar persoane, 138
65-69 ani, Total, Cluj, 56014 BELIS, Anul 2026, Numar persoane, 77
65-69 ani, Total, Cluj, 56096 BOBALNA, Anul 2026, Numar persoane, 84
65-69 ani, Total, Cluj, 56210 BONTIDA, Anul 2026, Numar persoane, 203
65-69 ani, Total, Cluj, 56265 BORSA, Anul 2026, Numar persoane, 57
65-69 ani, Total, Cluj, 56327 BUZA, Anul 2026, Numar persoane, 62
65-69 ani, Total, Cluj, 56354 CAIANU, Anul 2026, Numar persoane, 124
65-69 ani, Total, Cluj, 56425 CALARASI, Anul 2026, Numar persoane, 144
65-69 ani, Total, Cluj, 56461 CALATELE, Anul 2026, Numar persoane, 123
65-69 ani, Total, Cluj, 56522 CAMARASU, Anul 2026, Numar persoane, 107
65-69 ani, Total, Cluj, 56568 CAPUSU MARE, Anul 2026, Numar persoane, 181
65-69 ani, Total, Cluj, 56666 CASEIU, Anul 2026, Numar persoane, 219
65-69 ani, Total, Cluj, 57314 CATCAU, Anul 2026, Numar persoane, 95
65-69 ani, Total, Cluj, 56773 CATINA, Anul 2026, Numar persoane, 89
65-69 ani, Total, Cluj, 56844 CEANU MARE, Anul 2026, Numar persoane, 180
65-69 ani, Total, Cluj, 56988 CHINTENI, Anul 2026, Numar persoane, 202
65-69 ani, Total, Cluj, 57083 CHIUIESTI, Anul 2026, Numar persoane, 131
65-69 ani, Total, Cluj, 57163 CIUCEA, Anul 2026, Numar persoane, 91
65-69 ani, Total, Cluj, 57225 CIURILA, Anul 2026, Numar persoane, 82
65-69 ani, Total, Cluj, 57350 COJOCNA, Anul 2026, Numar persoane, 200
65-69 ani, Total, Cluj, 57449 CORNESTI, Anul 2026, Numar persoane, 40
65-69 ani, Total, Cluj, 55062 CUZDRIOARA, Anul 2026, Numar persoane, 141
65-69 ani, Total, Cluj, 57546 DABACA, Anul 2026, Numar persoane, 65
65-69 ani, Total, Cluj, 57582 FELEACU, Anul 2026, Numar persoane, 232
65-69 ani, Total, Cluj, 57644 FIZESU GHERLII, Anul 2026, Numar persoane, 130
65-69 ani, Total, Cluj, 57706 FLORESTI, Anul 2026, Numar persoane, 1866
65-69 ani, Total, Cluj, 57742 FRATA, Anul 2026, Numar persoane, 188
65-69 ani, Total, Cluj, 57948 GARBAU, Anul 2026, Numar persoane, 114
65-69 ani, Total, Cluj, 57831 GEACA, Anul 2026, Numar persoane, 79
65-69 ani, Total, Cluj, 57902 GILAU, Anul 2026, Numar persoane, 416
65-69 ani, Total, Cluj, 58008 IARA, Anul 2026, Numar persoane, 258
65-69 ani, Total, Cluj, 58142 ICLOD, Anul 2026, Numar persoane, 162
65-69 ani, Total, Cluj, 58204 IZVORU CRISULUI, Anul 2026, Numar persoane, 87
65-69 ani, Total, Cluj, 55106 JICHISU DE JOS, Anul 2026, Numar persoane, 60
65-69 ani, Total, Cluj, 58259 JUCU, Anul 2026, Numar persoane, 258
65-69 ani, Total, Cluj, 58311 LUNA, Anul 2026, Numar persoane, 239
65-69 ani, Total, Cluj, 58357 MAGURI-RACATAU, Anul 2026, Numar persoane, 104
65-69 ani, Total, Cluj, 58393 MANASTIRENI, Anul 2026, Numar persoane, 85
65-69 ani, Total, Cluj, 58464 MARGAU, Anul 2026, Numar persoane, 75
65-69 ani, Total, Cluj, 58534 MARISEL, Anul 2026, Numar persoane, 97
65-69 ani, Total, Cluj, 55160 MICA, Anul 2026, Numar persoane, 208
65-69 ani, Total, Cluj, 55277 MIHAI VITEAZU, Anul 2026, Numar persoane, 351
65-69 ani, Total, Cluj, 58552 MINTIU GHERLII, Anul 2026, Numar persoane, 225
65-69 ani, Total, Cluj, 58623 MOCIU, Anul 2026, Numar persoane, 159
65-69 ani, Total, Cluj, 58721 MOLDOVENESTI, Anul 2026, Numar persoane, 184
65-69 ani, Total, Cluj, 60169 NEGRENI, Anul 2026, Numar persoane, 143
65-69 ani, Total, Cluj, 58794 PALATCA, Anul 2026, Numar persoane, 43
65-69 ani, Total, Cluj, 58856 PANTICEU, Anul 2026, Numar persoane, 55
65-69 ani, Total, Cluj, 58918 PETRESTII DE JOS, Anul 2026, Numar persoane, 88
65-69 ani, Total, Cluj, 58990 PLOSCOS, Anul 2026, Numar persoane, 46
65-69 ani, Total, Cluj, 59041 POIENI, Anul 2026, Numar persoane, 304
65-69 ani, Total, Cluj, 59238 RASCA, Anul 2026, Numar persoane, 109
65-69 ani, Total, Cluj, 59130 RECEA-CRISTUR, Anul 2026, Numar persoane, 47
65-69 ani, Total, Cluj, 59283 SACUIEU, Anul 2026, Numar persoane, 80
65-69 ani, Total, Cluj, 59434 SANCRAIU, Anul 2026, Numar persoane, 77
65-69 ani, Total, Cluj, 55311 SANDULESTI, Anul 2026, Numar persoane, 103
65-69 ani, Total, Cluj, 59498 SANMARTIN, Anul 2026, Numar persoane, 78
65-69 ani, Total, Cluj, 59586 SANPAUL, Anul 2026, Numar persoane, 124
65-69 ani, Total, Cluj, 59327 SAVADISLA, Anul 2026, Numar persoane, 267
65-69 ani, Total, Cluj, 59416 SIC, Anul 2026, Numar persoane, 115
65-69 ani, Total, Cluj, 59657 SUATU, Anul 2026, Numar persoane, 56
65-69 ani, Total, Cluj, 59826 TAGA, Anul 2026, Numar persoane, 102
65-69 ani, Total, Cluj, 59693 TRITENII DE JOS, Anul 2026, Numar persoane, 229
65-69 ani, Total, Cluj, 59764 TURENI, Anul 2026, Numar persoane, 136
65-69 ani, Total, Cluj, 59880 UNGURAS, Anul 2026, Numar persoane, 125
65-69 ani, Total, Cluj, 59942 VAD, Anul 2026, Numar persoane, 82
65-69 ani, Total, Cluj, 60026 VALEA IERII, Anul 2026, Numar persoane, 61
65-69 ani, Total, Cluj, 60062 VIISOARA, Anul 2026, Numar persoane, 298
65-69 ani, Total, Cluj, 60099 VULTURENI, Anul 2026, Numar persoane, 74
70-74 ani, Total, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2026, Numar persoane, 18706
70-74 ani, Total, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2026, Numar persoane, 1512
70-74 ani, Total, Cluj, 55008 MUNICIPIUL DEJ, Anul 2026, Numar persoane, 2021
70-74 ani, Total, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2026, Numar persoane, 1300
70-74 ani, Total, Cluj, 55259 MUNICIPIUL TURDA, Anul 2026, Numar persoane, 3022
70-74 ani, Total, Cluj, 55446 ORAS HUEDIN, Anul 2026, Numar persoane, 390
70-74 ani, Total, Cluj, 55473 AGHIRESU, Anul 2026, Numar persoane, 324
70-74 ani, Total, Cluj, 55598 AITON, Anul 2026, Numar persoane, 56
70-74 ani, Total, Cluj, 55623 ALUNIS, Anul 2026, Numar persoane, 60
70-74 ani, Total, Cluj, 55687 APAHIDA, Anul 2026, Numar persoane, 616
70-74 ani, Total, Cluj, 55776 ASCHILEU, Anul 2026, Numar persoane, 75
70-74 ani, Total, Cluj, 55838 BACIU, Anul 2026, Numar persoane, 487
70-74 ani, Total, Cluj, 55918 BAISOARA, Anul 2026, Numar persoane, 109
70-74 ani, Total, Cluj, 56014 BELIS, Anul 2026, Numar persoane, 71
70-74 ani, Total, Cluj, 56096 BOBALNA, Anul 2026, Numar persoane, 72
