Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Caras-Severin, 54485 VALIUG, Anul 2026, Numar persoane, 768
Total, Total, Caras-Severin, 54500 VARADIA, Anul 2026, Numar persoane, 1437
Total, Total, Caras-Severin, 54537 VERMES, Anul 2026, Numar persoane, 1401
Total, Total, Caras-Severin, 54573 VRANI, Anul 2026, Numar persoane, 1078
Total, Total, Caras-Severin, 54617 ZAVOI, Anul 2026, Numar persoane, 3780
Total, Total, Caras-Severin, 54699 ZORLENTU MARE, Anul 2026, Numar persoane, 1076
65-69 ani, Total, Caras-Severin, 50790 MUNICIPIUL RESITA, Anul 2026, Numar persoane, 5642
65-69 ani, Total, Caras-Severin, 51010 MUNICIPIUL CARANSEBES, Anul 2026, Numar persoane, 1843
65-69 ani, Total, Caras-Severin, 50889 ORAS ANINA, Anul 2026, Numar persoane, 499
65-69 ani, Total, Caras-Severin, 50923 ORAS BAILE HERCULANE, Anul 2026, Numar persoane, 368
65-69 ani, Total, Caras-Severin, 50969 ORAS BOCSA, Anul 2026, Numar persoane, 1038
65-69 ani, Total, Caras-Severin, 51056 ORAS MOLDOVA NOUA, Anul 2026, Numar persoane, 811
65-69 ani, Total, Caras-Severin, 51118 ORAS ORAVITA, Anul 2026, Numar persoane, 722
65-69 ani, Total, Caras-Severin, 51207 ORAS OTELU ROSU, Anul 2026, Numar persoane, 706
65-69 ani, Total, Caras-Severin, 51243 ARMENIS, Anul 2026, Numar persoane, 139
65-69 ani, Total, Caras-Severin, 51305 BANIA, Anul 2026, Numar persoane, 116
65-69 ani, Total, Caras-Severin, 51332 BAUTAR, Anul 2026, Numar persoane, 155
65-69 ani, Total, Caras-Severin, 51387 BERLISTE, Anul 2026, Numar persoane, 60
65-69 ani, Total, Caras-Severin, 51449 BERZASCA, Anul 2026, Numar persoane, 131
65-69 ani, Total, Caras-Severin, 51500 BERZOVIA, Anul 2026, Numar persoane, 279
65-69 ani, Total, Caras-Severin, 51546 BOLVASNITA, Anul 2026, Numar persoane, 87
65-69 ani, Total, Caras-Severin, 51573 BOZOVICI, Anul 2026, Numar persoane, 210
65-69 ani, Total, Caras-Severin, 51626 BREBU, Anul 2026, Numar persoane, 92
65-69 ani, Total, Caras-Severin, 51662 BREBU NOU, Anul 2026, Numar persoane, 33
65-69 ani, Total, Caras-Severin, 51699 BUCHIN, Anul 2026, Numar persoane, 132
65-69 ani, Total, Caras-Severin, 51751 BUCOSNITA, Anul 2026, Numar persoane, 177
65-69 ani, Total, Caras-Severin, 51804 CARASOVA, Anul 2026, Numar persoane, 197
65-69 ani, Total, Caras-Severin, 51840 CARBUNARI, Anul 2026, Numar persoane, 70
65-69 ani, Total, Caras-Severin, 51948 CICLOVA ROMANA, Anul 2026, Numar persoane, 107
65-69 ani, Total, Caras-Severin, 51984 CIUCHICI, Anul 2026, Numar persoane, 58
65-69 ani, Total, Caras-Severin, 52035 CIUDANOVITA, Anul 2026, Numar persoane, 43
65-69 ani, Total, Caras-Severin, 51877 CONSTANTIN DAICOVICIU, Anul 2026, Numar persoane, 172
65-69 ani, Total, Caras-Severin, 52062 COPACELE, Anul 2026, Numar persoane, 81
65-69 ani, Total, Caras-Severin, 52115 CORNEA, Anul 2026, Numar persoane, 132
65-69 ani, Total, Caras-Severin, 52160 CORNEREVA, Anul 2026, Numar persoane, 158
65-69 ani, Total, Caras-Severin, 53489 CORONINI, Anul 2026, Numar persoane, 131
65-69 ani, Total, Caras-Severin, 52570 DALBOSET, Anul 2026, Numar persoane, 100
65-69 ani, Total, Caras-Severin, 52650 DOCLIN, Anul 2026, Numar persoane, 112
65-69 ani, Total, Caras-Severin, 52696 DOGNECEA, Anul 2026, Numar persoane, 100
65-69 ani, Total, Caras-Severin, 52721 DOMASNEA, Anul 2026, Numar persoane, 74
65-69 ani, Total, Caras-Severin, 53700 EFTIMIE MURGU, Anul 2026, Numar persoane, 125
65-69 ani, Total, Caras-Severin, 52758 EZERIS, Anul 2026, Numar persoane, 89
65-69 ani, Total, Caras-Severin, 52785 FARLIUG, Anul 2026, Numar persoane, 102
65-69 ani, Total, Caras-Severin, 52856 FOROTIC, Anul 2026, Numar persoane, 94
65-69 ani, Total, Caras-Severin, 52909 GARNIC, Anul 2026, Numar persoane, 101
65-69 ani, Total, Caras-Severin, 52936 GLIMBOCA, Anul 2026, Numar persoane, 119
65-69 ani, Total, Caras-Severin, 52954 GORUIA, Anul 2026, Numar persoane, 77
65-69 ani, Total, Caras-Severin, 52990 GRADINARI, Anul 2026, Numar persoane, 118
65-69 ani, Total, Caras-Severin, 53023 IABLANITA, Anul 2026, Numar persoane, 171
65-69 ani, Total, Caras-Severin, 53069 LAPUSNICEL, Anul 2026, Numar persoane, 80
65-69 ani, Total, Caras-Severin, 53103 LAPUSNICU MARE, Anul 2026, Numar persoane, 95
65-69 ani, Total, Caras-Severin, 53130 LUNCAVITA, Anul 2026, Numar persoane, 131
65-69 ani, Total, Caras-Severin, 53167 LUPAC, Anul 2026, Numar persoane, 160
65-69 ani, Total, Caras-Severin, 53210 MARGA, Anul 2026, Numar persoane, 71
65-69 ani, Total, Caras-Severin, 53247 MAURENI, Anul 2026, Numar persoane, 128
65-69 ani, Total, Caras-Severin, 53274 MEHADIA, Anul 2026, Numar persoane, 257
65-69 ani, Total, Caras-Severin, 53327 MEHADICA, Anul 2026, Numar persoane, 27
65-69 ani, Total, Caras-Severin, 53345 NAIDAS, Anul 2026, Numar persoane, 63
65-69 ani, Total, Caras-Severin, 53372 OBREJA, Anul 2026, Numar persoane, 175
65-69 ani, Total, Caras-Severin, 50987 OCNA DE FIER, Anul 2026, Numar persoane, 30
65-69 ani, Total, Caras-Severin, 53425 PALTINIS, Anul 2026, Numar persoane, 133
65-69 ani, Total, Caras-Severin, 53513 POJEJENA, Anul 2026, Numar persoane, 200
65-69 ani, Total, Caras-Severin, 53577 PRIGOR, Anul 2026, Numar persoane, 159
65-69 ani, Total, Caras-Severin, 53675 RACASDIA, Anul 2026, Numar persoane, 109
65-69 ani, Total, Caras-Severin, 53639 RAMNA, Anul 2026, Numar persoane, 99
65-69 ani, Total, Caras-Severin, 53728 RUSCA MONTANA, Anul 2026, Numar persoane, 100
65-69 ani, Total, Caras-Severin, 53755 SACU, Anul 2026, Numar persoane, 91
65-69 ani, Total, Caras-Severin, 53791 SASCA MONTANA, Anul 2026, Numar persoane, 89
65-69 ani, Total, Caras-Severin, 53853 SICHEVITA, Anul 2026, Numar persoane, 131
65-69 ani, Total, Caras-Severin, 54056 SLATINA-TIMIS, Anul 2026, Numar persoane, 198
65-69 ani, Total, Caras-Severin, 54109 SOCOL, Anul 2026, Numar persoane, 133
65-69 ani, Total, Caras-Severin, 54163 SOPOTU NOU, Anul 2026, Numar persoane, 62
65-69 ani, Total, Caras-Severin, 54350 TARNOVA, Anul 2026, Numar persoane, 118
65-69 ani, Total, Caras-Severin, 54270 TEREGOVA, Anul 2026, Numar persoane, 227
65-69 ani, Total, Caras-Severin, 54305 TICVANIU MARE, Anul 2026, Numar persoane, 99
65-69 ani, Total, Caras-Severin, 54387 TOPLET, Anul 2026, Numar persoane, 178
65-69 ani, Total, Caras-Severin, 54412 TURNU RUIENI, Anul 2026, Numar persoane, 196
65-69 ani, Total, Caras-Severin, 54485 VALIUG, Anul 2026, Numar persoane, 59
65-69 ani, Total, Caras-Severin, 54500 VARADIA, Anul 2026, Numar persoane, 77
65-69 ani, Total, Caras-Severin, 54537 VERMES, Anul 2026, Numar persoane, 79
65-69 ani, Total, Caras-Severin, 54573 VRANI, Anul 2026, Numar persoane, 64
65-69 ani, Total, Caras-Severin, 54617 ZAVOI, Anul 2026, Numar persoane, 246
65-69 ani, Total, Caras-Severin, 54699 ZORLENTU MARE, Anul 2026, Numar persoane, 81
70-74 ani, Total, Caras-Severin, 50790 MUNICIPIUL RESITA, Anul 2026, Numar persoane, 4846
70-74 ani, Total, Caras-Severin, 51010 MUNICIPIUL CARANSEBES, Anul 2026, Numar persoane, 1673
70-74 ani, Total, Caras-Severin, 50889 ORAS ANINA, Anul 2026, Numar persoane, 443
70-74 ani, Total, Caras-Severin, 50923 ORAS BAILE HERCULANE, Anul 2026, Numar persoane, 353
70-74 ani, Total, Caras-Severin, 50969 ORAS BOCSA, Anul 2026, Numar persoane, 877
70-74 ani, Total, Caras-Severin, 51056 ORAS MOLDOVA NOUA, Anul 2026, Numar persoane, 686
