Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
65-69 ani, Total, Arad, 9495 ORAS CURTICI, Anul 2026, Numar persoane, 464
65-69 ani, Total, Arad, 9538 ORAS INEU, Anul 2026, Numar persoane, 617
65-69 ani, Total, Arad, 9574 ORAS LIPOVA, Anul 2026, Numar persoane, 653
65-69 ani, Total, Arad, 9627 ORAS NADLAC, Anul 2026, Numar persoane, 433
65-69 ani, Total, Arad, 9654 ORAS PANCOTA, Anul 2026, Numar persoane, 434
65-69 ani, Total, Arad, 11584 ORAS PECICA, Anul 2026, Numar persoane, 747
65-69 ani, Total, Arad, 12091 ORAS SANTANA, Anul 2026, Numar persoane, 798
65-69 ani, Total, Arad, 9690 ORAS SEBIS, Anul 2026, Numar persoane, 422
65-69 ani, Total, Arad, 9743 ALMAS, Anul 2026, Numar persoane, 153
65-69 ani, Total, Arad, 9798 APATEU, Anul 2026, Numar persoane, 197
65-69 ani, Total, Arad, 9832 ARCHIS, Anul 2026, Numar persoane, 89
65-69 ani, Total, Arad, 10051 BARSA, Anul 2026, Numar persoane, 119
65-69 ani, Total, Arad, 10104 BARZAVA, Anul 2026, Numar persoane, 123
65-69 ani, Total, Arad, 9887 BATA, Anul 2026, Numar persoane, 51
65-69 ani, Total, Arad, 9930 BELIU, Anul 2026, Numar persoane, 168
65-69 ani, Total, Arad, 10006 BIRCHIS, Anul 2026, Numar persoane, 93
65-69 ani, Total, Arad, 10195 BOCSIG, Anul 2026, Numar persoane, 192
65-69 ani, Total, Arad, 10239 BRAZII, Anul 2026, Numar persoane, 57
65-69 ani, Total, Arad, 10293 BUTENI, Anul 2026, Numar persoane, 205
65-69 ani, Total, Arad, 10346 CARAND, Anul 2026, Numar persoane, 56
65-69 ani, Total, Arad, 10373 CERMEI, Anul 2026, Numar persoane, 170
65-69 ani, Total, Arad, 10417 CHISINDIA, Anul 2026, Numar persoane, 79
65-69 ani, Total, Arad, 10453 CONOP, Anul 2026, Numar persoane, 121
65-69 ani, Total, Arad, 10514 COVASINT, Anul 2026, Numar persoane, 126
65-69 ani, Total, Arad, 10532 CRAIVA, Anul 2026, Numar persoane, 132
65-69 ani, Total, Arad, 10649 DEZNA, Anul 2026, Numar persoane, 88
65-69 ani, Total, Arad, 10701 DIECI, Anul 2026, Numar persoane, 77
65-69 ani, Total, Arad, 12912 DOROBANTI, Anul 2026, Numar persoane, 102
65-69 ani, Total, Arad, 9280 FANTANELE, Anul 2026, Numar persoane, 236
65-69 ani, Total, Arad, 10827 FELNAC, Anul 2026, Numar persoane, 161
65-69 ani, Total, Arad, 12920 FRUMUSENI, Anul 2026, Numar persoane, 147
65-69 ani, Total, Arad, 10872 GHIOROC, Anul 2026, Numar persoane, 265
65-69 ani, Total, Arad, 10916 GRANICERI, Anul 2026, Numar persoane, 98
65-69 ani, Total, Arad, 10943 GURAHONT, Anul 2026, Numar persoane, 242
65-69 ani, Total, Arad, 11174 HALMAGEL, Anul 2026, Numar persoane, 80
65-69 ani, Total, Arad, 11058 HALMAGIU, Anul 2026, Numar persoane, 207
65-69 ani, Total, Arad, 11236 HASMAS, Anul 2026, Numar persoane, 49
65-69 ani, Total, Arad, 11307 IGNESTI, Anul 2026, Numar persoane, 36
65-69 ani, Total, Arad, 11352 IRATOSU, Anul 2026, Numar persoane, 163
65-69 ani, Total, Arad, 9333 LIVADA, Anul 2026, Numar persoane, 215
65-69 ani, Total, Arad, 11398 MACEA, Anul 2026, Numar persoane, 380
65-69 ani, Total, Arad, 11423 MISCA, Anul 2026, Numar persoane, 139
65-69 ani, Total, Arad, 11478 MONEASA, Anul 2026, Numar persoane, 78
65-69 ani, Total, Arad, 11502 OLARI, Anul 2026, Numar persoane, 107
65-69 ani, Total, Arad, 11539 PAULIS, Anul 2026, Numar persoane, 258
65-69 ani, Total, Arad, 11637 PEREGU MARE, Anul 2026, Numar persoane, 123
65-69 ani, Total, Arad, 11664 PETRIS, Anul 2026, Numar persoane, 73
65-69 ani, Total, Arad, 11735 PILU, Anul 2026, Numar persoane, 94
65-69 ani, Total, Arad, 11762 PLESCUTA, Anul 2026, Numar persoane, 60
65-69 ani, Total, Arad, 12144 SAGU, Anul 2026, Numar persoane, 232
65-69 ani, Total, Arad, 11842 SAVARSIN, Anul 2026, Numar persoane, 170
65-69 ani, Total, Arad, 11940 SECUSIGIU, Anul 2026, Numar persoane, 263
65-69 ani, Total, Arad, 12206 SEITIN, Anul 2026, Numar persoane, 154
65-69 ani, Total, Arad, 11995 SELEUS, Anul 2026, Numar persoane, 179
65-69 ani, Total, Arad, 12037 SEMLAC, Anul 2026, Numar persoane, 186
65-69 ani, Total, Arad, 12224 SEPREUS, Anul 2026, Numar persoane, 123
65-69 ani, Total, Arad, 12242 SICULA, Anul 2026, Numar persoane, 234
65-69 ani, Total, Arad, 12288 SILINDIA, Anul 2026, Numar persoane, 44
65-69 ani, Total, Arad, 12340 SIMAND, Anul 2026, Numar persoane, 201
65-69 ani, Total, Arad, 12055 SINTEA MARE, Anul 2026, Numar persoane, 184
65-69 ani, Total, Arad, 12368 SIRIA, Anul 2026, Numar persoane, 430
65-69 ani, Total, Arad, 12402 SISTAROVAT, Anul 2026, Numar persoane, 15
65-69 ani, Total, Arad, 12126 SOCODOR, Anul 2026, Numar persoane, 110
65-69 ani, Total, Arad, 9360 SOFRONEA, Anul 2026, Numar persoane, 182
65-69 ani, Total, Arad, 12509 TARNOVA, Anul 2026, Numar persoane, 267
65-69 ani, Total, Arad, 12457 TAUT, Anul 2026, Numar persoane, 101
65-69 ani, Total, Arad, 10765 USUSAU, Anul 2026, Numar persoane, 50
65-69 ani, Total, Arad, 12572 VARADIA DE MURES, Anul 2026, Numar persoane, 116
65-69 ani, Total, Arad, 12689 VARFURILE, Anul 2026, Numar persoane, 176
65-69 ani, Total, Arad, 12643 VINGA, Anul 2026, Numar persoane, 325
65-69 ani, Total, Arad, 9397 VLADIMIRESCU, Anul 2026, Numar persoane, 820
65-69 ani, Total, Arad, 12778 ZABRANI, Anul 2026, Numar persoane, 253
