Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Buzau, 49956 VADU PASII, Anul 2026, Numar persoane, 10247
Total, Total, Buzau, 50399 VALCELELE, Anul 2026, Numar persoane, 1299
Total, Total, Buzau, 50022 VALEA RAMNICULUI, Anul 2026, Numar persoane, 5166
Total, Total, Buzau, 50068 VALEA SALCIEI, Anul 2026, Numar persoane, 577
Total, Total, Buzau, 50102 VERNESTI, Anul 2026, Numar persoane, 9444
Total, Total, Buzau, 50228 VINTILA VODA, Anul 2026, Numar persoane, 2605
Total, Total, Buzau, 50326 VIPERESTI, Anul 2026, Numar persoane, 3316
Total, Total, Buzau, 50415 ZARNESTI, Anul 2026, Numar persoane, 4772
Total, Total, Buzau, 50479 ZIDURI, Anul 2026, Numar persoane, 3940
65-69 ani, Total, Buzau, 44818 MUNICIPIUL BUZAU, Anul 2026, Numar persoane, 9925
65-69 ani, Total, Buzau, 44845 MUNICIPIUL RAMNICU SARAT, Anul 2026, Numar persoane, 2557
65-69 ani, Total, Buzau, 47916 ORAS NEHOIU, Anul 2026, Numar persoane, 666
65-69 ani, Total, Buzau, 48325 ORAS PATARLAGELE, Anul 2026, Numar persoane, 527
65-69 ani, Total, Buzau, 48744 ORAS POGOANELE, Anul 2026, Numar persoane, 371
65-69 ani, Total, Buzau, 44863 AMARU, Anul 2026, Numar persoane, 103
65-69 ani, Total, Buzau, 44989 BALACEANU, Anul 2026, Numar persoane, 67
65-69 ani, Total, Buzau, 44934 BALTA ALBA, Anul 2026, Numar persoane, 97
65-69 ani, Total, Buzau, 45003 BECENI, Anul 2026, Numar persoane, 237
65-69 ani, Total, Buzau, 45101 BERCA, Anul 2026, Numar persoane, 562
65-69 ani, Total, Buzau, 45245 BISOCA, Anul 2026, Numar persoane, 106
65-69 ani, Total, Buzau, 45334 BLAJANI, Anul 2026, Numar persoane, 52
65-69 ani, Total, Buzau, 45361 BOLDU, Anul 2026, Numar persoane, 128
65-69 ani, Total, Buzau, 45389 BOZIORU, Anul 2026, Numar persoane, 49
65-69 ani, Total, Buzau, 45496 BRADEANU, Anul 2026, Numar persoane, 101
