Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
65-69 ani, Total, Giurgiu, 102909 FRATESTI, Anul 2026, Numar persoane, 295
65-69 ani, Total, Giurgiu, 103087 GAISENI, Anul 2026, Numar persoane, 253
65-69 ani, Total, Giurgiu, 103194 GAUJANI, Anul 2026, Numar persoane, 110
65-69 ani, Total, Giurgiu, 103238 GHIMPATI, Anul 2026, Numar persoane, 228
65-69 ani, Total, Giurgiu, 103309 GOGOSARI, Anul 2026, Numar persoane, 73
65-69 ani, Total, Giurgiu, 103372 GOSTINARI, Anul 2026, Numar persoane, 90
65-69 ani, Total, Giurgiu, 103354 GOSTINU, Anul 2026, Numar persoane, 110
65-69 ani, Total, Giurgiu, 103407 GRADINARI, Anul 2026, Numar persoane, 160
65-69 ani, Total, Giurgiu, 103470 GREACA, Anul 2026, Numar persoane, 121
65-69 ani, Total, Giurgiu, 179757 HERASTI, Anul 2026, Numar persoane, 90
65-69 ani, Total, Giurgiu, 103639 HOTARELE, Anul 2026, Numar persoane, 192
65-69 ani, Total, Giurgiu, 103693 IEPURESTI, Anul 2026, Numar persoane, 83
65-69 ani, Total, Giurgiu, 179766 ISVOARELE, Anul 2026, Numar persoane, 68
65-69 ani, Total, Giurgiu, 103899 IZVOARELE, Anul 2026, Numar persoane, 167
65-69 ani, Total, Giurgiu, 103997 JOITA, Anul 2026, Numar persoane, 194
65-69 ani, Total, Giurgiu, 104047 LETCA NOUA, Anul 2026, Numar persoane, 107
65-69 ani, Total, Giurgiu, 179739 MALU, Anul 2026, Numar persoane, 132
65-69 ani, Total, Giurgiu, 104225 MARSA, Anul 2026, Numar persoane, 111
65-69 ani, Total, Giurgiu, 104118 MIHAI BRAVU, Anul 2026, Numar persoane, 103
65-69 ani, Total, Giurgiu, 104485 OGREZENI, Anul 2026, Numar persoane, 193
65-69 ani, Total, Giurgiu, 104519 OINACU, Anul 2026, Numar persoane, 182
65-69 ani, Total, Giurgiu, 104680 PRUNDU, Anul 2026, Numar persoane, 182
65-69 ani, Total, Giurgiu, 104715 PUTINEIU, Anul 2026, Numar persoane, 138
65-69 ani, Total, Giurgiu, 104788 RASUCENI, Anul 2026, Numar persoane, 75
65-69 ani, Total, Giurgiu, 104831 ROATA DE JOS, Anul 2026, Numar persoane, 303
65-69 ani, Total, Giurgiu, 179775 SABARENI, Anul 2026, Numar persoane, 151
65-69 ani, Total, Giurgiu, 104975 SCHITU, Anul 2026, Numar persoane, 62
65-69 ani, Total, Giurgiu, 105106 SINGURENI, Anul 2026, Numar persoane, 115
65-69 ani, Total, Giurgiu, 100549 SLOBOZIA, Anul 2026, Numar persoane, 143
65-69 ani, Total, Giurgiu, 105295 STANESTI, Anul 2026, Numar persoane, 162
65-69 ani, Total, Giurgiu, 105348 STOENESTI, Anul 2026, Numar persoane, 72
65-69 ani, Total, Giurgiu, 154709 TOPORU, Anul 2026, Numar persoane, 83
65-69 ani, Total, Giurgiu, 105623 ULMI, Anul 2026, Numar persoane, 366
65-69 ani, Total, Giurgiu, 105776 VALEA DRAGULUI, Anul 2026, Numar persoane, 165
65-69 ani, Total, Giurgiu, 105972 VANATORII MICI, Anul 2026, Numar persoane, 168
65-69 ani, Total, Giurgiu, 105874 VARASTI, Anul 2026, Numar persoane, 278
65-69 ani, Total, Giurgiu, 105909 VEDEA, Anul 2026, Numar persoane, 134
70-74 ani, Total, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2026, Numar persoane, 3692
70-74 ani, Total, Giurgiu, 101190 ORAS BOLINTIN-VALE, Anul 2026, Numar persoane, 528
70-74 ani, Total, Giurgiu, 104136 ORAS MIHAILESTI, Anul 2026, Numar persoane, 344
70-74 ani, Total, Giurgiu, 100781 ADUNATII-COPACENI, Anul 2026, Numar persoane, 288
70-74 ani, Total, Giurgiu, 101001 BANEASA, Anul 2026, Numar persoane, 233
70-74 ani, Total, Giurgiu, 101163 BOLINTIN-DEAL, Anul 2026, Numar persoane, 352
70-74 ani, Total, Giurgiu, 101378 BUCSANI, Anul 2026, Numar persoane, 118
70-74 ani, Total, Giurgiu, 101519 BULBUCATA, Anul 2026, Numar persoane, 49
