Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Neamt, 124723 TRIFESTI, Anul 2026, Numar persoane, 4849
Total, Total, Neamt, 124750 TUPILATI, Anul 2026, Numar persoane, 2053
Total, Total, Neamt, 124849 URECHENI, Anul 2026, Numar persoane, 3846
Total, Total, Neamt, 124885 VALEA URSULUI, Anul 2026, Numar persoane, 4058
Total, Total, Neamt, 125123 VALENI, Anul 2026, Numar persoane, 1469
Total, Total, Neamt, 125016 VANATORI-NEAMT, Anul 2026, Numar persoane, 8352
Total, Total, Neamt, 125061 ZANESTI, Anul 2026, Numar persoane, 5637
65-69 ani, Total, Neamt, 120726 MUNICIPIUL PIATRA-NEAMT, Anul 2026, Numar persoane, 7711
65-69 ani, Total, Neamt, 120860 MUNICIPIUL ROMAN, Anul 2026, Numar persoane, 5014
65-69 ani, Total, Neamt, 120968 ORAS BICAZ, Anul 2026, Numar persoane, 530
65-69 ani, Total, Neamt, 124117 ORAS ROZNOV, Anul 2026, Numar persoane, 539
65-69 ani, Total, Neamt, 121055 ORAS TARGU NEAMT, Anul 2026, Numar persoane, 1407
65-69 ani, Total, Neamt, 121108 AGAPIA, Anul 2026, Numar persoane, 237
65-69 ani, Total, Neamt, 124938 ALEXANDRU CEL BUN, Anul 2026, Numar persoane, 402
65-69 ani, Total, Neamt, 121153 BAHNA, Anul 2026, Numar persoane, 127
65-69 ani, Total, Neamt, 121242 BALTATESTI, Anul 2026, Numar persoane, 210
65-69 ani, Total, Neamt, 121466 BARGAUANI, Anul 2026, Numar persoane, 167
65-69 ani, Total, Neamt, 121297 BICAZ-CHEI, Anul 2026, Numar persoane, 258
65-69 ani, Total, Neamt, 121340 BICAZU ARDELEAN, Anul 2026, Numar persoane, 188
65-69 ani, Total, Neamt, 121386 BIRA, Anul 2026, Numar persoane, 74
65-69 ani, Total, Neamt, 121607 BODESTI, Anul 2026, Numar persoane, 248
65-69 ani, Total, Neamt, 125178 BOGHICEA, Anul 2026, Numar persoane, 83
65-69 ani, Total, Neamt, 121652 BORCA, Anul 2026, Numar persoane, 318
65-69 ani, Total, Neamt, 121732 BORLESTI, Anul 2026, Numar persoane, 427
65-69 ani, Total, Neamt, 121796 BOTESTI, Anul 2026, Numar persoane, 204
65-69 ani, Total, Neamt, 121876 BOZIENI, Anul 2026, Numar persoane, 111
65-69 ani, Total, Neamt, 121938 BRUSTURI, Anul 2026, Numar persoane, 155
65-69 ani, Total, Neamt, 122061 CANDESTI, Anul 2026, Numar persoane, 183
65-69 ani, Total, Neamt, 122025 CEAHLAU, Anul 2026, Numar persoane, 125
65-69 ani, Total, Neamt, 120888 CORDUN, Anul 2026, Numar persoane, 385
65-69 ani, Total, Neamt, 122132 COSTISA, Anul 2026, Numar persoane, 193
65-69 ani, Total, Neamt, 122187 CRACAOANI, Anul 2026, Numar persoane, 220
65-69 ani, Total, Neamt, 122249 DAMUC, Anul 2026, Numar persoane, 162
65-69 ani, Total, Neamt, 122285 DOBRENI, Anul 2026, Numar persoane, 109
65-69 ani, Total, Neamt, 125098 DOCHIA, Anul 2026, Numar persoane, 99
65-69 ani, Total, Neamt, 122347 DOLJESTI, Anul 2026, Numar persoane, 289
65-69 ani, Total, Neamt, 125132 DRAGANESTI, Anul 2026, Numar persoane, 58
65-69 ani, Total, Neamt, 122392 DRAGOMIRESTI, Anul 2026, Numar persoane, 96
65-69 ani, Total, Neamt, 122463 DULCESTI, Anul 2026, Numar persoane, 125
65-69 ani, Total, Neamt, 120771 DUMBRAVA ROSIE, Anul 2026, Numar persoane, 493
65-69 ani, Total, Neamt, 122551 FARCASA, Anul 2026, Numar persoane, 152
65-69 ani, Total, Neamt, 122613 FAUREI, Anul 2026, Numar persoane, 100
65-69 ani, Total, Neamt, 125150 GADINTI, Anul 2026, Numar persoane, 118
65-69 ani, Total, Neamt, 122828 GARCINA, Anul 2026, Numar persoane, 248
65-69 ani, Total, Neamt, 122668 GHERAESTI, Anul 2026, Numar persoane, 269
65-69 ani, Total, Neamt, 125114 GHINDAOANI, Anul 2026, Numar persoane, 63
65-69 ani, Total, Neamt, 122702 GIROV, Anul 2026, Numar persoane, 278
65-69 ani, Total, Neamt, 122864 GRINTIES, Anul 2026, Numar persoane, 119
65-69 ani, Total, Neamt, 122908 GRUMAZESTI, Anul 2026, Numar persoane, 219
65-69 ani, Total, Neamt, 122953 HANGU, Anul 2026, Numar persoane, 189
65-69 ani, Total, Neamt, 120922 HORIA, Anul 2026, Numar persoane, 398
65-69 ani, Total, Neamt, 123013 ICUSESTI, Anul 2026, Numar persoane, 196
65-69 ani, Total, Neamt, 123102 ION CREANGA, Anul 2026, Numar persoane, 284
65-69 ani, Total, Neamt, 123175 MARGINENI, Anul 2026, Numar persoane, 143
65-69 ani, Total, Neamt, 123228 MOLDOVENI, Anul 2026, Numar persoane, 75
65-69 ani, Total, Neamt, 125169 NEGRESTI, Anul 2026, Numar persoane, 107
65-69 ani, Total, Neamt, 123255 ONICENI, Anul 2026, Numar persoane, 108
65-69 ani, Total, Neamt, 125141 PANCESTI, Anul 2026, Numar persoane, 66
65-69 ani, Total, Neamt, 123601 PANGARATI, Anul 2026, Numar persoane, 332
65-69 ani, Total, Neamt, 123371 PASTRAVENI, Anul 2026, Numar persoane, 146
65-69 ani, Total, Neamt, 123424 PETRICANI, Anul 2026, Numar persoane, 264
65-69 ani, Total, Neamt, 123479 PIATRA SOIMULUI, Anul 2026, Numar persoane, 434
65-69 ani, Total, Neamt, 123521 PIPIRIG, Anul 2026, Numar persoane, 442
65-69 ani, Total, Neamt, 123674 PODOLENI, Anul 2026, Numar persoane, 280
65-69 ani, Total, Neamt, 123790 POIANA TEIULUI, Anul 2026, Numar persoane, 226
65-69 ani, Total, Neamt, 123709 POIENARI, Anul 2026, Numar persoane, 69
65-69 ani, Total, Neamt, 123914 RAUCESTI, Anul 2026, Numar persoane, 345
65-69 ani, Total, Neamt, 123969 RAZBOIENI, Anul 2026, Numar persoane, 79
65-69 ani, Total, Neamt, 124028 REDIU, Anul 2026, Numar persoane, 231
65-69 ani, Total, Neamt, 124073 ROMANI, Anul 2026, Numar persoane, 199
65-69 ani, Total, Neamt, 125105 RUGINOASA, Anul 2026, Numar persoane, 101
65-69 ani, Total, Neamt, 124206 SABAOANI, Anul 2026, Numar persoane, 472
65-69 ani, Total, Neamt, 124153 SAGNA, Anul 2026, Numar persoane, 198
65-69 ani, Total, Neamt, 120824 SAVINESTI, Anul 2026, Numar persoane, 387
65-69 ani, Total, Neamt, 124233 SECUIENI, Anul 2026, Numar persoane, 139
65-69 ani, Total, Neamt, 124331 STANITA, Anul 2026, Numar persoane, 80
65-69 ani, Total, Neamt, 124411 STEFAN CEL MARE, Anul 2026, Numar persoane, 146
65-69 ani, Total, Neamt, 124634 TAMASENI, Anul 2026, Numar persoane, 340
65-69 ani, Total, Neamt, 124493 TARCAU, Anul 2026, Numar persoane, 178
65-69 ani, Total, Neamt, 124563 TASCA, Anul 2026, Numar persoane, 170
65-69 ani, Total, Neamt, 124616 TAZLAU, Anul 2026, Numar persoane, 157
65-69 ani, Total, Neamt, 124803 TIBUCANI, Anul 2026, Numar persoane, 188
65-69 ani, Total, Neamt, 124661 TIMISESTI, Anul 2026, Numar persoane, 185
65-69 ani, Total, Neamt, 124723 TRIFESTI, Anul 2026, Numar persoane, 217
65-69 ani, Total, Neamt, 124750 TUPILATI, Anul 2026, Numar persoane, 95
65-69 ani, Total, Neamt, 124849 URECHENI, Anul 2026, Numar persoane, 149
65-69 ani, Total, Neamt, 124885 VALEA URSULUI, Anul 2026, Numar persoane, 154
