Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
65-69 ani, Total, Tulcea, 160458 GRINDU, Anul 2026, Numar persoane, 59
65-69 ani, Total, Tulcea, 160476 HAMCEARCA, Anul 2026, Numar persoane, 81
65-69 ani, Total, Tulcea, 160528 HORIA, Anul 2026, Numar persoane, 58
65-69 ani, Total, Tulcea, 161525 I.C.BRATIANU, Anul 2026, Numar persoane, 56
65-69 ani, Total, Tulcea, 160564 IZVOARELE, Anul 2026, Numar persoane, 136
65-69 ani, Total, Tulcea, 160617 JIJILA, Anul 2026, Numar persoane, 280
65-69 ani, Total, Tulcea, 160644 JURILOVCA, Anul 2026, Numar persoane, 281
65-69 ani, Total, Tulcea, 160680 LUNCAVITA, Anul 2026, Numar persoane, 242
65-69 ani, Total, Tulcea, 160724 MAHMUDIA, Anul 2026, Numar persoane, 173
65-69 ani, Total, Tulcea, 160779 MALIUC, Anul 2026, Numar persoane, 59
65-69 ani, Total, Tulcea, 160831 MIHAI BRAVU, Anul 2026, Numar persoane, 132
65-69 ani, Total, Tulcea, 160877 MIHAIL KOGALNICEANU, Anul 2026, Numar persoane, 178
65-69 ani, Total, Tulcea, 160911 MURIGHIOL, Anul 2026, Numar persoane, 189
65-69 ani, Total, Tulcea, 160993 NALBANT, Anul 2026, Numar persoane, 119
65-69 ani, Total, Tulcea, 161035 NICULITEL, Anul 2026, Numar persoane, 237
65-69 ani, Total, Tulcea, 161053 NUFARU, Anul 2026, Numar persoane, 145
65-69 ani, Total, Tulcea, 161106 OSTROV, Anul 2026, Numar persoane, 87
65-69 ani, Total, Tulcea, 161133 PARDINA, Anul 2026, Numar persoane, 32
65-69 ani, Total, Tulcea, 161151 PECENEAGA, Anul 2026, Numar persoane, 89
65-69 ani, Total, Tulcea, 161179 SARICHIOI, Anul 2026, Numar persoane, 409
65-69 ani, Total, Tulcea, 161231 SFANTU GHEORGHE, Anul 2026, Numar persoane, 50
65-69 ani, Total, Tulcea, 161259 SLAVA CERCHEZA, Anul 2026, Numar persoane, 125
65-69 ani, Total, Tulcea, 161286 SMARDAN, Anul 2026, Numar persoane, 53
65-69 ani, Total, Tulcea, 161302 SOMOVA, Anul 2026, Numar persoane, 269
65-69 ani, Total, Tulcea, 161348 STEJARU, Anul 2026, Numar persoane, 98
65-69 ani, Total, Tulcea, 161384 TOPOLOG, Anul 2026, Numar persoane, 204
65-69 ani, Total, Tulcea, 161464 TURCOAIA, Anul 2026, Numar persoane, 175
65-69 ani, Total, Tulcea, 161543 VACARENI, Anul 2026, Numar persoane, 108
65-69 ani, Total, Tulcea, 161482 VALEA NUCARILOR, Anul 2026, Numar persoane, 207
65-69 ani, Total, Tulcea, 161561 VALEA TEILOR, Anul 2026, Numar persoane, 78
70-74 ani, Total, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2026, Numar persoane, 5237
70-74 ani, Total, Tulcea, 159650 ORAS BABADAG, Anul 2026, Numar persoane, 421
70-74 ani, Total, Tulcea, 159687 ORAS ISACCEA, Anul 2026, Numar persoane, 224
70-74 ani, Total, Tulcea, 159730 ORAS MACIN, Anul 2026, Numar persoane, 625
70-74 ani, Total, Tulcea, 159767 ORAS SULINA, Anul 2026, Numar persoane, 251
70-74 ani, Total, Tulcea, 159785 BAIA, Anul 2026, Numar persoane, 233
70-74 ani, Total, Tulcea, 159847 BEIDAUD, Anul 2026, Numar persoane, 65
70-74 ani, Total, Tulcea, 161552 BESTEPE, Anul 2026, Numar persoane, 73
70-74 ani, Total, Tulcea, 159883 C.A. ROSETTI, Anul 2026, Numar persoane, 29
70-74 ani, Total, Tulcea, 159945 CARCALIU, Anul 2026, Numar persoane, 187
70-74 ani, Total, Tulcea, 159963 CASIMCEA, Anul 2026, Numar persoane, 114
70-74 ani, Total, Tulcea, 160092 CEAMURLIA DE JOS, Anul 2026, Numar persoane, 99
70-74 ani, Total, Tulcea, 160047 CEATALCHIOI, Anul 2026, Numar persoane, 49
70-74 ani, Total, Tulcea, 160127 CERNA, Anul 2026, Numar persoane, 200
70-74 ani, Total, Tulcea, 160172 CHILIA VECHE, Anul 2026, Numar persoane, 101
70-74 ani, Total, Tulcea, 160225 CIUCUROVA, Anul 2026, Numar persoane, 100
70-74 ani, Total, Tulcea, 160261 CRISAN, Anul 2026, Numar persoane, 62
70-74 ani, Total, Tulcea, 160305 DAENI, Anul 2026, Numar persoane, 107
70-74 ani, Total, Tulcea, 160323 DOROBANTU, Anul 2026, Numar persoane, 67
70-74 ani, Total, Tulcea, 160387 FRECATEI, Anul 2026, Numar persoane, 224
70-74 ani, Total, Tulcea, 160430 GRECI, Anul 2026, Numar persoane, 253
70-74 ani, Total, Tulcea, 160458 GRINDU, Anul 2026, Numar persoane, 57
70-74 ani, Total, Tulcea, 160476 HAMCEARCA, Anul 2026, Numar persoane, 65
70-74 ani, Total, Tulcea, 160528 HORIA, Anul 2026, Numar persoane, 82
70-74 ani, Total, Tulcea, 161525 I.C.BRATIANU, Anul 2026, Numar persoane, 46
70-74 ani, Total, Tulcea, 160564 IZVOARELE, Anul 2026, Numar persoane, 126
70-74 ani, Total, Tulcea, 160617 JIJILA, Anul 2026, Numar persoane, 313
70-74 ani, Total, Tulcea, 160644 JURILOVCA, Anul 2026, Numar persoane, 271
70-74 ani, Total, Tulcea, 160680 LUNCAVITA, Anul 2026, Numar persoane, 232
70-74 ani, Total, Tulcea, 160724 MAHMUDIA, Anul 2026, Numar persoane, 144
70-74 ani, Total, Tulcea, 160779 MALIUC, Anul 2026, Numar persoane, 55
70-74 ani, Total, Tulcea, 160831 MIHAI BRAVU, Anul 2026, Numar persoane, 98
70-74 ani, Total, Tulcea, 160877 MIHAIL KOGALNICEANU, Anul 2026, Numar persoane, 147
70-74 ani, Total, Tulcea, 160911 MURIGHIOL, Anul 2026, Numar persoane, 158
70-74 ani, Total, Tulcea, 160993 NALBANT, Anul 2026, Numar persoane, 82
70-74 ani, Total, Tulcea, 161035 NICULITEL, Anul 2026, Numar persoane, 238
70-74 ani, Total, Tulcea, 161053 NUFARU, Anul 2026, Numar persoane, 138
70-74 ani, Total, Tulcea, 161106 OSTROV, Anul 2026, Numar persoane, 70
70-74 ani, Total, Tulcea, 161133 PARDINA, Anul 2026, Numar persoane, 22
70-74 ani, Total, Tulcea, 161151 PECENEAGA, Anul 2026, Numar persoane, 95
70-74 ani, Total, Tulcea, 161179 SARICHIOI, Anul 2026, Numar persoane, 440
70-74 ani, Total, Tulcea, 161231 SFANTU GHEORGHE, Anul 2026, Numar persoane, 44
70-74 ani, Total, Tulcea, 161259 SLAVA CERCHEZA, Anul 2026, Numar persoane, 147
70-74 ani, Total, Tulcea, 161286 SMARDAN, Anul 2026, Numar persoane, 65
70-74 ani, Total, Tulcea, 161302 SOMOVA, Anul 2026, Numar persoane, 260
70-74 ani, Total, Tulcea, 161348 STEJARU, Anul 2026, Numar persoane, 78
70-74 ani, Total, Tulcea, 161384 TOPOLOG, Anul 2026, Numar persoane, 184
70-74 ani, Total, Tulcea, 161464 TURCOAIA, Anul 2026, Numar persoane, 169
70-74 ani, Total, Tulcea, 161543 VACARENI, Anul 2026, Numar persoane, 132
70-74 ani, Total, Tulcea, 161482 VALEA NUCARILOR, Anul 2026, Numar persoane, 204
70-74 ani, Total, Tulcea, 161561 VALEA TEILOR, Anul 2026, Numar persoane, 54
75-79 ani, Total, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2026, Numar persoane, 2933
75-79 ani, Total, Tulcea, 159650 ORAS BABADAG, Anul 2026, Numar persoane, 274
75-79 ani, Total, Tulcea, 159687 ORAS ISACCEA, Anul 2026, Numar persoane, 171
75-79 ani, Total, Tulcea, 159730 ORAS MACIN, Anul 2026, Numar persoane, 355
75-79 ani, Total, Tulcea, 159767 ORAS SULINA, Anul 2026, Numar persoane, 158
75-79 ani, Total, Tulcea, 159785 BAIA, Anul 2026, Numar persoane, 161
75-79 ani, Total, Tulcea, 159847 BEIDAUD, Anul 2026, Numar persoane, 35
75-79 ani, Total, Tulcea, 161552 BESTEPE, Anul 2026, Numar persoane, 75
75-79 ani, Total, Tulcea, 159883 C.A. ROSETTI, Anul 2026, Numar persoane, 38
75-79 ani, Total, Tulcea, 159945 CARCALIU, Anul 2026, Numar persoane, 179
75-79 ani, Total, Tulcea, 159963 CASIMCEA, Anul 2026, Numar persoane, 96
