Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Prahova, 134648 POSESTI, Anul 2026, Numar persoane, 3609
Total, Total, Prahova, 134755 PREDEAL-SARARI, Anul 2026, Numar persoane, 2079
Total, Total, Prahova, 134853 PROVITA DE JOS, Anul 2026, Numar persoane, 2154
Total, Total, Prahova, 134899 PROVITA DE SUS, Anul 2026, Numar persoane, 1801
Total, Total, Prahova, 134942 PUCHENII MARI, Anul 2026, Numar persoane, 7815
Total, Total, Prahova, 135020 RAFOV, Anul 2026, Numar persoane, 5306
Total, Total, Prahova, 135128 SALCIA, Anul 2026, Numar persoane, 878
Total, Total, Prahova, 135146 SALCIILE, Anul 2026, Numar persoane, 1548
Total, Total, Prahova, 135244 SANGERU, Anul 2026, Numar persoane, 5475
Total, Total, Prahova, 135164 SCORTENI, Anul 2026, Numar persoane, 5302
Total, Total, Prahova, 135226 SECARIA, Anul 2026, Numar persoane, 1067
Total, Total, Prahova, 135431 SIRNA, Anul 2026, Numar persoane, 4440
Total, Total, Prahova, 135501 SOIMARI, Anul 2026, Numar persoane, 2824
Total, Total, Prahova, 135547 SOTRILE, Anul 2026, Numar persoane, 3241
Total, Total, Prahova, 135315 STARCHIOJD, Anul 2026, Numar persoane, 3298
Total, Total, Prahova, 135618 STEFESTI, Anul 2026, Numar persoane, 2141
Total, Total, Prahova, 135404 SURANI, Anul 2026, Numar persoane, 1728
Total, Total, Prahova, 135654 TALEA, Anul 2026, Numar persoane, 934
Total, Total, Prahova, 130892 TARGSORU VECHI, Anul 2026, Numar persoane, 11989
Total, Total, Prahova, 135681 TATARU, Anul 2026, Numar persoane, 712
Total, Total, Prahova, 135725 TEISANI, Anul 2026, Numar persoane, 3411
Total, Total, Prahova, 135789 TELEGA, Anul 2026, Numar persoane, 4824
Total, Total, Prahova, 135850 TINOSU, Anul 2026, Numar persoane, 2176
Total, Total, Prahova, 135896 TOMSANI, Anul 2026, Numar persoane, 4136
Total, Total, Prahova, 136269 VADU SAPAT, Anul 2026, Numar persoane, 1548
Total, Total, Prahova, 136198 VALCANESTI, Anul 2026, Numar persoane, 3468
Total, Total, Prahova, 135949 VALEA CALUGAREASCA, Anul 2026, Numar persoane, 10838
Total, Total, Prahova, 136107 VALEA DOFTANEI, Anul 2026, Numar persoane, 5937
Total, Total, Prahova, 136134 VARBILAU, Anul 2026, Numar persoane, 6320
