Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Olt, 130366 SARBII-MAGURA, Anul 2026, Numar persoane, 1658
Total, Total, Olt, 128613 SCARISOARA, Anul 2026, Numar persoane, 2905
Total, Total, Olt, 128659 SCHITU, Anul 2026, Numar persoane, 2391
Total, Total, Olt, 128864 SEACA, Anul 2026, Numar persoane, 1466
Total, Total, Olt, 129246 SERBANESTI, Anul 2026, Numar persoane, 2554
Total, Total, Olt, 125374 SLATIOARA, Anul 2026, Numar persoane, 2696
Total, Total, Olt, 130384 SOPARLITA, Anul 2026, Numar persoane, 1096
Total, Total, Olt, 128962 SPINENI, Anul 2026, Numar persoane, 1260
Total, Total, Olt, 129040 SPRANCENATA, Anul 2026, Numar persoane, 2097
Total, Total, Olt, 129282 STEFAN CEL MARE, Anul 2026, Numar persoane, 1400
Total, Total, Olt, 129095 STOENESTI, Anul 2026, Numar persoane, 2064
Total, Total, Olt, 129111 STOICANESTI, Anul 2026, Numar persoane, 2198
Total, Total, Olt, 129139 STREJESTI, Anul 2026, Numar persoane, 2799
Total, Total, Olt, 129184 STUDINA, Anul 2026, Numar persoane, 2501
Total, Total, Olt, 129317 TATULESTI, Anul 2026, Numar persoane, 762
Total, Total, Olt, 129380 TESLUI, Anul 2026, Numar persoane, 2239
Total, Total, Olt, 129460 TIA MARE, Anul 2026, Numar persoane, 3750
Total, Total, Olt, 129503 TOPANA, Anul 2026, Numar persoane, 566
Total, Total, Olt, 129567 TRAIAN, Anul 2026, Numar persoane, 2713
Total, Total, Olt, 129585 TUFENI, Anul 2026, Numar persoane, 2388
Total, Total, Olt, 129629 URZICA, Anul 2026, Numar persoane, 1906
Total, Total, Olt, 129718 VADASTRA, Anul 2026, Numar persoane, 1144
Total, Total, Olt, 129745 VADASTRITA, Anul 2026, Numar persoane, 2812
Total, Total, Olt, 129987 VALCELE, Anul 2026, Numar persoane, 2128
Total, Total, Olt, 129656 VALEA MARE, Anul 2026, Numar persoane, 3581
Total, Total, Olt, 129763 VALENI, Anul 2026, Numar persoane, 2311
Total, Total, Olt, 129816 VERGULEASA, Anul 2026, Numar persoane, 2448
Total, Total, Olt, 129898 VISINA, Anul 2026, Numar persoane, 2545
Total, Total, Olt, 130375 VISINA NOUA, Anul 2026, Numar persoane, 1510
Total, Total, Olt, 129914 VITOMIRESTI, Anul 2026, Numar persoane, 1676
Total, Total, Olt, 130026 VLADILA, Anul 2026, Numar persoane, 1846
Total, Total, Olt, 130062 VOINEASA, Anul 2026, Numar persoane, 2003
Total, Total, Olt, 130124 VULPENI, Anul 2026, Numar persoane, 1880
Total, Total, Olt, 130231 VULTURESTI, Anul 2026, Numar persoane, 2047
65-69 ani, Total, Olt, 125347 MUNICIPIUL SLATINA, Anul 2026, Numar persoane, 5347
65-69 ani, Total, Olt, 125472 MUNICIPIUL CARACAL, Anul 2026, Numar persoane, 2093
65-69 ani, Total, Olt, 125418 ORAS BALS, Anul 2026, Numar persoane, 1190
65-69 ani, Total, Olt, 125542 ORAS CORABIA, Anul 2026, Numar persoane, 1020
65-69 ani, Total, Olt, 125622 ORAS DRAGANESTI-OLT, Anul 2026, Numar persoane, 698
65-69 ani, Total, Olt, 128105 ORAS PIATRA-OLT, Anul 2026, Numar persoane, 345
65-69 ani, Total, Olt, 128374 ORAS POTCOAVA, Anul 2026, Numar persoane, 287
65-69 ani, Total, Olt, 128711 ORAS SCORNICESTI, Anul 2026, Numar persoane, 719
65-69 ani, Total, Olt, 125659 BABICIU, Anul 2026, Numar persoane, 117
65-69 ani, Total, Olt, 125677 BALDOVINESTI, Anul 2026, Numar persoane, 59
65-69 ani, Total, Olt, 130286 BALTENI, Anul 2026, Numar persoane, 85
65-69 ani, Total, Olt, 125757 BARASTI, Anul 2026, Numar persoane, 72
65-69 ani, Total, Olt, 125846 BARZA, Anul 2026, Numar persoane, 148
65-69 ani, Total, Olt, 125873 BOBICESTI, Anul 2026, Numar persoane, 187
65-69 ani, Total, Olt, 126022 BRANCOVENI, Anul 2026, Numar persoane, 152
65-69 ani, Total, Olt, 125962 BRASTAVATU, Anul 2026, Numar persoane, 248
65-69 ani, Total, Olt, 125999 BREBENI, Anul 2026, Numar persoane, 173
65-69 ani, Total, Olt, 126077 BUCINISU, Anul 2026, Numar persoane, 126
65-69 ani, Total, Olt, 130295 CALUI, Anul 2026, Numar persoane, 107
65-69 ani, Total, Olt, 126166 CARLOGANI, Anul 2026, Numar persoane, 125
65-69 ani, Total, Olt, 126102 CEZIENI, Anul 2026, Numar persoane, 109
65-69 ani, Total, Olt, 126148 CILIENI, Anul 2026, Numar persoane, 158
65-69 ani, Total, Olt, 126228 COLONESTI, Anul 2026, Numar persoane, 83
65-69 ani, Total, Olt, 126326 CORBU, Anul 2026, Numar persoane, 83
65-69 ani, Total, Olt, 126380 COTEANA, Anul 2026, Numar persoane, 120
65-69 ani, Total, Olt, 126406 CRAMPOIA, Anul 2026, Numar persoane, 132
65-69 ani, Total, Olt, 126503 CUNGREA, Anul 2026, Numar persoane, 87
65-69 ani, Total, Olt, 126433 CURTISOARA, Anul 2026, Numar persoane, 251
65-69 ani, Total, Olt, 126585 DANEASA, Anul 2026, Numar persoane, 141
65-69 ani, Total, Olt, 126647 DEVESELU, Anul 2026, Numar persoane, 175
65-69 ani, Total, Olt, 126674 DOBRETU, Anul 2026, Numar persoane, 46
65-69 ani, Total, Olt, 126718 DOBROSLOVENI, Anul 2026, Numar persoane, 169
65-69 ani, Total, Olt, 126772 DOBROTEASA, Anul 2026, Numar persoane, 85
65-69 ani, Total, Olt, 126825 DOBRUN, Anul 2026, Numar persoane, 61
65-69 ani, Total, Olt, 125490 DRAGHICENI, Anul 2026, Numar persoane, 126
65-69 ani, Total, Olt, 126905 FAGETELU, Anul 2026, Numar persoane, 37
65-69 ani, Total, Olt, 126978 FALCOIU, Anul 2026, Numar persoane, 184
65-69 ani, Total, Olt, 127019 FARCASELE, Anul 2026, Numar persoane, 224
65-69 ani, Total, Olt, 127064 GANEASA, Anul 2026, Numar persoane, 211
65-69 ani, Total, Olt, 125588 GARCOV, Anul 2026, Numar persoane, 156
65-69 ani, Total, Olt, 130302 GAVANESTI, Anul 2026, Numar persoane, 115
65-69 ani, Total, Olt, 130311 GHIMPETENI, Anul 2026, Numar persoane, 60
65-69 ani, Total, Olt, 127126 GIUVARASTI, Anul 2026, Numar persoane, 118
65-69 ani, Total, Olt, 127144 GOSTAVATU, Anul 2026, Numar persoane, 166
65-69 ani, Total, Olt, 127171 GRADINARI, Anul 2026, Numar persoane, 84
65-69 ani, Total, Olt, 130320 GRADINILE, Anul 2026, Numar persoane, 79
