Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
65-69 ani, Total, Constanta, 60455 ORAS EFORIE, Anul 2026, Numar persoane, 753
65-69 ani, Total, Constanta, 60801 ORAS HARSOVA, Anul 2026, Numar persoane, 528
65-69 ani, Total, Constanta, 62360 ORAS MURFATLAR, Anul 2026, Numar persoane, 563
65-69 ani, Total, Constanta, 60507 ORAS NAVODARI, Anul 2026, Numar persoane, 2682
65-69 ani, Total, Constanta, 62397 ORAS NEGRU VODA, Anul 2026, Numar persoane, 287
65-69 ani, Total, Constanta, 60687 ORAS OVIDIU, Anul 2026, Numar persoane, 891
65-69 ani, Total, Constanta, 60534 ORAS TECHIRGHIOL, Anul 2026, Numar persoane, 525
65-69 ani, Total, Constanta, 60598 23 AUGUST, Anul 2026, Numar persoane, 300
65-69 ani, Total, Constanta, 60883 ADAMCLISI, Anul 2026, Numar persoane, 114
65-69 ani, Total, Constanta, 60570 AGIGEA, Anul 2026, Numar persoane, 588
65-69 ani, Total, Constanta, 60945 ALBESTI, Anul 2026, Numar persoane, 201
65-69 ani, Total, Constanta, 61005 ALIMAN, Anul 2026, Numar persoane, 141
65-69 ani, Total, Constanta, 63198 AMZACEA, Anul 2026, Numar persoane, 139
65-69 ani, Total, Constanta, 61069 BANEASA, Anul 2026, Numar persoane, 261
65-69 ani, Total, Constanta, 63294 BARAGANU, Anul 2026, Numar persoane, 117
65-69 ani, Total, Constanta, 61121 CASTELU, Anul 2026, Numar persoane, 241
65-69 ani, Total, Constanta, 61167 CERCHEZU, Anul 2026, Numar persoane, 60
65-69 ani, Total, Constanta, 61210 CHIRNOGENI, Anul 2026, Numar persoane, 165
65-69 ani, Total, Constanta, 61256 CIOBANU, Anul 2026, Numar persoane, 203
65-69 ani, Total, Constanta, 61283 CIOCARLIA, Anul 2026, Numar persoane, 157
65-69 ani, Total, Constanta, 61318 COBADIN, Anul 2026, Numar persoane, 480
65-69 ani, Total, Constanta, 61372 COGEALAC, Anul 2026, Numar persoane, 260
65-69 ani, Total, Constanta, 61452 COMANA, Anul 2026, Numar persoane, 100
65-69 ani, Total, Constanta, 61513 CORBU, Anul 2026, Numar persoane, 372
65-69 ani, Total, Constanta, 63286 COSTINESTI, Anul 2026, Numar persoane, 221
65-69 ani, Total, Constanta, 61559 CRUCEA, Anul 2026, Numar persoane, 175
65-69 ani, Total, Constanta, 61620 CUMPANA, Anul 2026, Numar persoane, 779
65-69 ani, Total, Constanta, 63300 CUZA VODA, Anul 2026, Numar persoane, 169
65-69 ani, Total, Constanta, 61675 DELENI, Anul 2026, Numar persoane, 141
65-69 ani, Total, Constanta, 61737 DOBROMIR, Anul 2026, Numar persoane, 88
65-69 ani, Total, Constanta, 63161 DUMBRAVENI, Anul 2026, Numar persoane, 31
65-69 ani, Total, Constanta, 63334 FANTANELE, Anul 2026, Numar persoane, 81
65-69 ani, Total, Constanta, 61808 GARLICIU, Anul 2026, Numar persoane, 75
65-69 ani, Total, Constanta, 61826 GHINDARESTI, Anul 2026, Numar persoane, 157
65-69 ani, Total, Constanta, 63326 GRADINA, Anul 2026, Numar persoane, 69
65-69 ani, Total, Constanta, 63278 HORIA, Anul 2026, Numar persoane, 62
65-69 ani, Total, Constanta, 61871 INDEPENDENTA, Anul 2026, Numar persoane, 126
65-69 ani, Total, Constanta, 61951 ION CORVIN, Anul 2026, Numar persoane, 82
65-69 ani, Total, Constanta, 62020 ISTRIA, Anul 2026, Numar persoane, 115
65-69 ani, Total, Constanta, 60632 LIMANU, Anul 2026, Numar persoane, 406
65-69 ani, Total, Constanta, 62057 LIPNITA, Anul 2026, Numar persoane, 148
65-69 ani, Total, Constanta, 63152 LUMINA, Anul 2026, Numar persoane, 662
65-69 ani, Total, Constanta, 62137 MERENI, Anul 2026, Numar persoane, 118
65-69 ani, Total, Constanta, 62253 MIHAI VITEAZU, Anul 2026, Numar persoane, 154
65-69 ani, Total, Constanta, 62191 MIHAIL KOGALNICEANU, Anul 2026, Numar persoane, 570
65-69 ani, Total, Constanta, 62280 MIRCEA VODA, Anul 2026, Numar persoane, 234
65-69 ani, Total, Constanta, 62440 NICOLAE BALCESCU, Anul 2026, Numar persoane, 231
65-69 ani, Total, Constanta, 62486 OLTINA, Anul 2026, Numar persoane, 133
65-69 ani, Total, Constanta, 62538 OSTROV, Anul 2026, Numar persoane, 211
65-69 ani, Total, Constanta, 62609 PANTELIMON, Anul 2026, Numar persoane, 81
65-69 ani, Total, Constanta, 62672 PECINEAGA, Anul 2026, Numar persoane, 167
65-69 ani, Total, Constanta, 62707 PESTERA, Anul 2026, Numar persoane, 189
65-69 ani, Total, Constanta, 62761 POARTA ALBA, Anul 2026, Numar persoane, 258
65-69 ani, Total, Constanta, 62798 RASOVA, Anul 2026, Numar persoane, 169
65-69 ani, Total, Constanta, 62878 SACELE, Anul 2026, Numar persoane, 124
65-69 ani, Total, Constanta, 63318 SALIGNY, Anul 2026, Numar persoane, 125
65-69 ani, Total, Constanta, 62823 SARAIU, Anul 2026, Numar persoane, 67
65-69 ani, Total, Constanta, 62903 SEIMENI, Anul 2026, Numar persoane, 106
65-69 ani, Total, Constanta, 62949 SILISTEA, Anul 2026, Numar persoane, 42
65-69 ani, Total, Constanta, 62985 TARGUSOR, Anul 2026, Numar persoane, 77
65-69 ani, Total, Constanta, 63045 TOPALU, Anul 2026, Numar persoane, 93
65-69 ani, Total, Constanta, 63072 TOPRAISAR, Anul 2026, Numar persoane, 310
65-69 ani, Total, Constanta, 63189 TORTOMAN, Anul 2026, Numar persoane, 77
65-69 ani, Total, Constanta, 60721 TUZLA, Anul 2026, Numar persoane, 412
65-69 ani, Total, Constanta, 63125 VALU LUI TRAIAN, Anul 2026, Numar persoane, 934
65-69 ani, Total, Constanta, 63170 VULTURU, Anul 2026, Numar persoane, 36
70-74 ani, Total, Constanta, 60419 MUNICIPIUL CONSTANTA, Anul 2026, Numar persoane, 20001
70-74 ani, Total, Constanta, 60482 MUNICIPIUL MANGALIA, Anul 2026, Numar persoane, 2524
70-74 ani, Total, Constanta, 60847 MUNICIPIUL MEDGIDIA, Anul 2026, Numar persoane, 2305
70-74 ani, Total, Constanta, 60776 ORAS CERNAVODA, Anul 2026, Numar persoane, 782
70-74 ani, Total, Constanta, 60455 ORAS EFORIE, Anul 2026, Numar persoane, 691
70-74 ani, Total, Constanta, 60801 ORAS HARSOVA, Anul 2026, Numar persoane, 479
70-74 ani, Total, Constanta, 62360 ORAS MURFATLAR, Anul 2026, Numar persoane, 486
70-74 ani, Total, Constanta, 60507 ORAS NAVODARI, Anul 2026, Numar persoane, 2086
70-74 ani, Total, Constanta, 62397 ORAS NEGRU VODA, Anul 2026, Numar persoane, 230
70-74 ani, Total, Constanta, 60687 ORAS OVIDIU, Anul 2026, Numar persoane, 736
70-74 ani, Total, Constanta, 60534 ORAS TECHIRGHIOL, Anul 2026, Numar persoane, 408
70-74 ani, Total, Constanta, 60598 23 AUGUST, Anul 2026, Numar persoane, 293
70-74 ani, Total, Constanta, 60883 ADAMCLISI, Anul 2026, Numar persoane, 106
70-74 ani, Total, Constanta, 60570 AGIGEA, Anul 2026, Numar persoane, 459
70-74 ani, Total, Constanta, 60945 ALBESTI, Anul 2026, Numar persoane, 134
70-74 ani, Total, Constanta, 61005 ALIMAN, Anul 2026, Numar persoane, 109
70-74 ani, Total, Constanta, 63198 AMZACEA, Anul 2026, Numar persoane, 101
70-74 ani, Total, Constanta, 61069 BANEASA, Anul 2026, Numar persoane, 214
70-74 ani, Total, Constanta, 63294 BARAGANU, Anul 2026, Numar persoane, 69
70-74 ani, Total, Constanta, 61121 CASTELU, Anul 2026, Numar persoane, 174
