Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
65-69 ani, Total, Galati, 75819 BUCIUMENI, Anul 2026, Numar persoane, 104
65-69 ani, Total, Galati, 75864 CAVADINESTI, Anul 2026, Numar persoane, 142
65-69 ani, Total, Galati, 75917 CERTESTI, Anul 2026, Numar persoane, 124
65-69 ani, Total, Galati, 76004 CORNI, Anul 2026, Numar persoane, 114
65-69 ani, Total, Galati, 75953 COROD, Anul 2026, Numar persoane, 388
65-69 ani, Total, Galati, 76040 COSMESTI, Anul 2026, Numar persoane, 336
65-69 ani, Total, Galati, 76111 COSTACHE NEGRI, Anul 2026, Numar persoane, 132
65-69 ani, Total, Galati, 76139 CUCA, Anul 2026, Numar persoane, 119
65-69 ani, Total, Galati, 76157 CUDALBI, Anul 2026, Numar persoane, 350
65-69 ani, Total, Galati, 77595 CUZA VODA, Anul 2026, Numar persoane, 158
65-69 ani, Total, Galati, 75221 DRAGANESTI, Anul 2026, Numar persoane, 315
65-69 ani, Total, Galati, 76175 DRAGUSENI, Anul 2026, Numar persoane, 194
65-69 ani, Total, Galati, 76255 FARTANESTI, Anul 2026, Numar persoane, 221
65-69 ani, Total, Galati, 76282 FOLTESTI, Anul 2026, Numar persoane, 143
65-69 ani, Total, Galati, 76317 FRUMUSITA, Anul 2026, Numar persoane, 241
65-69 ani, Total, Galati, 76353 FUNDENI, Anul 2026, Numar persoane, 196
65-69 ani, Total, Galati, 76406 GHIDIGENI, Anul 2026, Numar persoane, 228
65-69 ani, Total, Galati, 76497 GOHOR, Anul 2026, Numar persoane, 193
65-69 ani, Total, Galati, 76558 GRIVITA, Anul 2026, Numar persoane, 166
65-69 ani, Total, Galati, 76585 INDEPENDENTA, Anul 2026, Numar persoane, 223
65-69 ani, Total, Galati, 76601 IVESTI, Anul 2026, Numar persoane, 434
65-69 ani, Total, Galati, 76638 JORASTI, Anul 2026, Numar persoane, 72
65-69 ani, Total, Galati, 76674 LIESTI, Anul 2026, Numar persoane, 527
65-69 ani, Total, Galati, 76718 MASTACANI, Anul 2026, Numar persoane, 200
65-69 ani, Total, Galati, 76692 MATCA, Anul 2026, Numar persoane, 662
65-69 ani, Total, Galati, 76745 MOVILENI, Anul 2026, Numar persoane, 147
65-69 ani, Total, Galati, 75258 MUNTENI, Anul 2026, Numar persoane, 362
65-69 ani, Total, Galati, 76763 NAMOLOASA, Anul 2026, Numar persoane, 91
65-69 ani, Total, Galati, 77579 NEGRILESTI, Anul 2026, Numar persoane, 132
65-69 ani, Total, Galati, 76807 NICORESTI, Anul 2026, Numar persoane, 194
65-69 ani, Total, Galati, 76932 OANCEA, Anul 2026, Numar persoane, 97
65-69 ani, Total, Galati, 76969 PECHEA, Anul 2026, Numar persoane, 515
65-69 ani, Total, Galati, 76996 PISCU, Anul 2026, Numar persoane, 233
65-69 ani, Total, Galati, 77587 POIANA, Anul 2026, Numar persoane, 91
65-69 ani, Total, Galati, 77028 PRIPONESTI, Anul 2026, Numar persoane, 90
65-69 ani, Total, Galati, 77561 RADESTI, Anul 2026, Numar persoane, 60
65-69 ani, Total, Galati, 77082 REDIU, Anul 2026, Numar persoane, 88
65-69 ani, Total, Galati, 77126 SCANTEIESTI, Anul 2026, Numar persoane, 131
65-69 ani, Total, Galati, 77153 SCHELA, Anul 2026, Numar persoane, 174
65-69 ani, Total, Galati, 75114 SENDRENI, Anul 2026, Numar persoane, 291
65-69 ani, Total, Galati, 77180 SLOBOZIA CONACHI, Anul 2026, Numar persoane, 199
65-69 ani, Total, Galati, 77224 SMARDAN, Anul 2026, Numar persoane, 303
65-69 ani, Total, Galati, 77260 SMULTI, Anul 2026, Numar persoane, 81
65-69 ani, Total, Galati, 77288 SUCEVENI, Anul 2026, Numar persoane, 88
65-69 ani, Total, Galati, 77601 SUHURLUI, Anul 2026, Numar persoane, 74
65-69 ani, Total, Galati, 77377 TEPU, Anul 2026, Numar persoane, 106
65-69 ani, Total, Galati, 77313 TUDOR VLADIMIRESCU, Anul 2026, Numar persoane, 239
65-69 ani, Total, Galati, 77331 TULUCESTI, Anul 2026, Numar persoane, 434
65-69 ani, Total, Galati, 77402 UMBRARESTI, Anul 2026, Numar persoane, 309
65-69 ani, Total, Galati, 77475 VALEA MARULUI, Anul 2026, Numar persoane, 163
65-69 ani, Total, Galati, 75150 VANATORI, Anul 2026, Numar persoane, 405
65-69 ani, Total, Galati, 77509 VARLEZI, Anul 2026, Numar persoane, 88
65-69 ani, Total, Galati, 77536 VLADESTI, Anul 2026, Numar persoane, 73
70-74 ani, Total, Galati, 75098 MUNICIPIUL GALATI, Anul 2026, Numar persoane, 17528
70-74 ani, Total, Galati, 75203 MUNICIPIUL TECUCI, Anul 2026, Numar persoane, 2454
70-74 ani, Total, Galati, 75338 ORAS BERESTI, Anul 2026, Numar persoane, 155
70-74 ani, Total, Galati, 75472 ORAS TARGU BUJOR, Anul 2026, Numar persoane, 385
70-74 ani, Total, Galati, 75542 BALABANESTI, Anul 2026, Numar persoane, 78
70-74 ani, Total, Galati, 75613 BALASESTI, Anul 2026, Numar persoane, 57
70-74 ani, Total, Galati, 75668 BALENI, Anul 2026, Numar persoane, 125
70-74 ani, Total, Galati, 75686 BANEASA, Anul 2026, Numar persoane, 97
70-74 ani, Total, Galati, 75515 BARCEA, Anul 2026, Numar persoane, 266
70-74 ani, Total, Galati, 75356 BERESTI-MERIA, Anul 2026, Numar persoane, 178
