Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Vaslui, 166413 TODIRESTI, Anul 2026, Numar persoane, 3082
Total, Total, Vaslui, 166529 TUTOVA, Anul 2026, Numar persoane, 3778
Total, Total, Vaslui, 166636 VALENI, Anul 2026, Numar persoane, 5713
Total, Total, Vaslui, 166672 VETRISOAIA, Anul 2026, Numar persoane, 2781
Total, Total, Vaslui, 166707 VIISOARA, Anul 2026, Numar persoane, 1634
Total, Total, Vaslui, 166770 VINDEREI, Anul 2026, Numar persoane, 3386
Total, Total, Vaslui, 166869 VOINESTI, Anul 2026, Numar persoane, 4014
Total, Total, Vaslui, 166985 VULTURESTI, Anul 2026, Numar persoane, 2031
Total, Total, Vaslui, 167035 VUTCANI, Anul 2026, Numar persoane, 1593
Total, Total, Vaslui, 167071 ZAPODENI, Anul 2026, Numar persoane, 5555
Total, Total, Vaslui, 167179 ZORLENI, Anul 2026, Numar persoane, 9542
65-69 ani, Total, Vaslui, 161945 MUNICIPIUL VASLUI, Anul 2026, Numar persoane, 6962
65-69 ani, Total, Vaslui, 161794 MUNICIPIUL BARLAD, Anul 2026, Numar persoane, 4655
65-69 ani, Total, Vaslui, 161829 MUNICIPIUL HUSI, Anul 2026, Numar persoane, 2131
65-69 ani, Total, Vaslui, 164981 ORAS MURGENI, Anul 2026, Numar persoane, 312
65-69 ani, Total, Vaslui, 161856 ORAS NEGRESTI, Anul 2026, Numar persoane, 510
65-69 ani, Total, Vaslui, 162014 ALBESTI, Anul 2026, Numar persoane, 119
65-69 ani, Total, Vaslui, 162069 ALEXANDRU VLAHUTA, Anul 2026, Numar persoane, 58
65-69 ani, Total, Vaslui, 162149 ARSURA, Anul 2026, Numar persoane, 47
65-69 ani, Total, Vaslui, 162327 BACANI, Anul 2026, Numar persoane, 145
65-69 ani, Total, Vaslui, 162381 BACESTI, Anul 2026, Numar persoane, 144
65-69 ani, Total, Vaslui, 162452 BALTENI, Anul 2026, Numar persoane, 80
65-69 ani, Total, Vaslui, 162194 BANCA, Anul 2026, Numar persoane, 207
65-69 ani, Total, Vaslui, 162498 BEREZENI, Anul 2026, Numar persoane, 191
65-69 ani, Total, Vaslui, 162559 BLAGESTI, Anul 2026, Numar persoane, 41
65-69 ani, Total, Vaslui, 162595 BOGDANA, Anul 2026, Numar persoane, 63
65-69 ani, Total, Vaslui, 162693 BOGDANESTI, Anul 2026, Numar persoane, 105
65-69 ani, Total, Vaslui, 162791 BOGDANITA, Anul 2026, Numar persoane, 55
65-69 ani, Total, Vaslui, 162871 BOTESTI, Anul 2026, Numar persoane, 67
65-69 ani, Total, Vaslui, 162924 BUNESTI-AVERESTI, Anul 2026, Numar persoane, 96
65-69 ani, Total, Vaslui, 167268 CIOCANI, Anul 2026, Numar persoane, 70
65-69 ani, Total, Vaslui, 163002 CODAESTI, Anul 2026, Numar persoane, 135
65-69 ani, Total, Vaslui, 163057 COROIESTI, Anul 2026, Numar persoane, 64
65-69 ani, Total, Vaslui, 163137 COSTESTI, Anul 2026, Numar persoane, 109
65-69 ani, Total, Vaslui, 167277 COZMESTI, Anul 2026, Numar persoane, 101
65-69 ani, Total, Vaslui, 163208 CRETESTI, Anul 2026, Numar persoane, 72
65-69 ani, Total, Vaslui, 163253 DANESTI, Anul 2026, Numar persoane, 69
65-69 ani, Total, Vaslui, 163324 DELENI, Anul 2026, Numar persoane, 105
65-69 ani, Total, Vaslui, 163379 DELESTI, Anul 2026, Numar persoane, 69
65-69 ani, Total, Vaslui, 164277 DIMITRIE CANTEMIR, Anul 2026, Numar persoane, 82
65-69 ani, Total, Vaslui, 167286 DODESTI, Anul 2026, Numar persoane, 68
65-69 ani, Total, Vaslui, 163486 DRAGOMIRESTI, Anul 2026, Numar persoane, 166
65-69 ani, Total, Vaslui, 163618 DRANCENI, Anul 2026, Numar persoane, 216
65-69 ani, Total, Vaslui, 163681 DUDA-EPURENI, Anul 2026, Numar persoane, 187
65-69 ani, Total, Vaslui, 163734 DUMESTI, Anul 2026, Numar persoane, 172
65-69 ani, Total, Vaslui, 163789 EPURENI, Anul 2026, Numar persoane, 134
65-69 ani, Total, Vaslui, 163832 FALCIU, Anul 2026, Numar persoane, 278
