Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
65-69 ani, Total, Bistrita-Nasaud, 32544 ORAS NASAUD, Anul 2026, Numar persoane, 729
65-69 ani, Total, Bistrita-Nasaud, 32599 ORAS SANGEORZ-BAI, Anul 2026, Numar persoane, 564
65-69 ani, Total, Bistrita-Nasaud, 32633 BISTRITA BARGAULUI, Anul 2026, Numar persoane, 211
65-69 ani, Total, Bistrita-Nasaud, 32660 BRANISTEA, Anul 2026, Numar persoane, 164
65-69 ani, Total, Bistrita-Nasaud, 32704 BUDACU DE JOS, Anul 2026, Numar persoane, 153
65-69 ani, Total, Bistrita-Nasaud, 32768 BUDESTI, Anul 2026, Numar persoane, 47
65-69 ani, Total, Bistrita-Nasaud, 32811 CAIANU MIC, Anul 2026, Numar persoane, 151
65-69 ani, Total, Bistrita-Nasaud, 32884 CETATE, Anul 2026, Numar persoane, 128
65-69 ani, Total, Bistrita-Nasaud, 33015 CHIOCHIS, Anul 2026, Numar persoane, 134
65-69 ani, Total, Bistrita-Nasaud, 33122 CHIUZA, Anul 2026, Numar persoane, 120
65-69 ani, Total, Bistrita-Nasaud, 32955 CICEU-GIURGESTI, Anul 2026, Numar persoane, 66
65-69 ani, Total, Bistrita-Nasaud, 179953 CICEU-MIHAIESTI, Anul 2026, Numar persoane, 47
65-69 ani, Total, Bistrita-Nasaud, 33177 COSBUC, Anul 2026, Numar persoane, 128
65-69 ani, Total, Bistrita-Nasaud, 33202 DUMITRA, Anul 2026, Numar persoane, 190
65-69 ani, Total, Bistrita-Nasaud, 179686 DUMITRITA, Anul 2026, Numar persoane, 138
65-69 ani, Total, Bistrita-Nasaud, 33248 FELDRU, Anul 2026, Numar persoane, 391
65-69 ani, Total, Bistrita-Nasaud, 33275 GALATII BISTRITEI, Anul 2026, Numar persoane, 128
65-69 ani, Total, Bistrita-Nasaud, 33337 ILVA MARE, Anul 2026, Numar persoane, 146
65-69 ani, Total, Bistrita-Nasaud, 33364 ILVA MICA, Anul 2026, Numar persoane, 193
65-69 ani, Total, Bistrita-Nasaud, 33382 JOSENII BARGAULUI, Anul 2026, Numar persoane, 227
65-69 ani, Total, Bistrita-Nasaud, 33435 LECHINTA, Anul 2026, Numar persoane, 265
65-69 ani, Total, Bistrita-Nasaud, 33514 LESU, Anul 2026, Numar persoane, 133
65-69 ani, Total, Bistrita-Nasaud, 33541 LIVEZILE, Anul 2026, Numar persoane, 251
65-69 ani, Total, Bistrita-Nasaud, 33603 LUNCA ILVEI, Anul 2026, Numar persoane, 167
65-69 ani, Total, Bistrita-Nasaud, 33729 MAGURA ILVEI, Anul 2026, Numar persoane, 117
65-69 ani, Total, Bistrita-Nasaud, 33621 MAIERU, Anul 2026, Numar persoane, 400
65-69 ani, Total, Bistrita-Nasaud, 33765 MARISELU, Anul 2026, Numar persoane, 123
