Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Dolj, 73567 OSTROVENI, Anul 2026, Numar persoane, 4484
Total, Total, Dolj, 73594 PERISOR, Anul 2026, Numar persoane, 1616
Total, Total, Dolj, 73629 PIELESTI, Anul 2026, Numar persoane, 4904
Total, Total, Dolj, 73665 PISCU VECHI, Anul 2026, Numar persoane, 2548
Total, Total, Dolj, 73709 PLENITA, Anul 2026, Numar persoane, 4137
Total, Total, Dolj, 74931 PLESOI, Anul 2026, Numar persoane, 1201
Total, Total, Dolj, 70110 PODARI, Anul 2026, Numar persoane, 7063
Total, Total, Dolj, 73736 POIANA MARE, Anul 2026, Numar persoane, 9465
Total, Total, Dolj, 73772 PREDESTI, Anul 2026, Numar persoane, 1984
Total, Total, Dolj, 73852 RADOVAN, Anul 2026, Numar persoane, 1337
Total, Total, Dolj, 73905 RAST, Anul 2026, Numar persoane, 3664
Total, Total, Dolj, 73923 ROBANESTI, Anul 2026, Numar persoane, 2182
Total, Total, Dolj, 74949 ROJISTE, Anul 2026, Numar persoane, 2499
Total, Total, Dolj, 73996 SADOVA, Anul 2026, Numar persoane, 8795
Total, Total, Dolj, 74028 SALCUTA, Anul 2026, Numar persoane, 2110
Total, Total, Dolj, 74073 SCAESTI, Anul 2026, Numar persoane, 2096
Total, Total, Dolj, 74108 SEACA DE CAMP, Anul 2026, Numar persoane, 1628
Total, Total, Dolj, 74135 SEACA DE PADURE, Anul 2026, Numar persoane, 797
Total, Total, Dolj, 74171 SECU, Anul 2026, Numar persoane, 939
Total, Total, Dolj, 74224 SILISTEA CRUCII, Anul 2026, Numar persoane, 1349
Total, Total, Dolj, 70174 SIMNICU DE SUS, Anul 2026, Numar persoane, 6121
Total, Total, Dolj, 74242 SOPOT, Anul 2026, Numar persoane, 1586
Total, Total, Dolj, 74956 TALPAS, Anul 2026, Numar persoane, 1110
Total, Total, Dolj, 74322 TEASC, Anul 2026, Numar persoane, 3014
Total, Total, Dolj, 74359 TERPEZITA, Anul 2026, Numar persoane, 1394
Total, Total, Dolj, 74411 TESLUI, Anul 2026, Numar persoane, 1930
Total, Total, Dolj, 74509 TUGLUI, Anul 2026, Numar persoane, 2869
Total, Total, Dolj, 74536 UNIREA, Anul 2026, Numar persoane, 3485
Total, Total, Dolj, 74554 URZICUTA, Anul 2026, Numar persoane, 3070
Total, Total, Dolj, 74581 VALEA STANCIULUI, Anul 2026, Numar persoane, 5039
Total, Total, Dolj, 74732 VARTOP, Anul 2026, Numar persoane, 1641
Total, Total, Dolj, 74750 VARVORU DE JOS, Anul 2026, Numar persoane, 2416
Total, Total, Dolj, 74616 VELA, Anul 2026, Numar persoane, 1750
Total, Total, Dolj, 74705 VERBITA, Anul 2026, Numar persoane, 1191
65-69 ani, Total, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2026, Numar persoane, 18789
65-69 ani, Total, Dolj, 70316 MUNICIPIUL BAILESTI, Anul 2026, Numar persoane, 1132
65-69 ani, Total, Dolj, 70352 MUNICIPIUL CALAFAT, Anul 2026, Numar persoane, 1103
65-69 ani, Total, Dolj, 70879 ORAS BECHET, Anul 2026, Numar persoane, 177
65-69 ani, Total, Dolj, 72007 ORAS DABULENI, Anul 2026, Numar persoane, 776
65-69 ani, Total, Dolj, 70414 ORAS FILIASI, Anul 2026, Numar persoane, 1030
65-69 ani, Total, Dolj, 70502 ORAS SEGARCEA, Anul 2026, Numar persoane, 396
65-69 ani, Total, Dolj, 70520 AFUMATI, Anul 2026, Numar persoane, 138
65-69 ani, Total, Dolj, 70566 ALMAJ, Anul 2026, Numar persoane, 112
65-69 ani, Total, Dolj, 70637 AMARASTII DE JOS, Anul 2026, Numar persoane, 289
65-69 ani, Total, Dolj, 70673 AMARASTII DE SUS, Anul 2026, Numar persoane, 97
65-69 ani, Total, Dolj, 70726 APELE VII, Anul 2026, Numar persoane, 124
65-69 ani, Total, Dolj, 70744 ARGETOAIA, Anul 2026, Numar persoane, 207
65-69 ani, Total, Dolj, 70940 BARCA, Anul 2026, Numar persoane, 181
65-69 ani, Total, Dolj, 70897 BISTRET, Anul 2026, Numar persoane, 174
65-69 ani, Total, Dolj, 70968 BOTOSESTI-PAIA, Anul 2026, Numar persoane, 36
65-69 ani, Total, Dolj, 70986 BRABOVA, Anul 2026, Numar persoane, 73
65-69 ani, Total, Dolj, 71055 BRADESTI, Anul 2026, Numar persoane, 228
65-69 ani, Total, Dolj, 71126 BRALOSTITA, Anul 2026, Numar persoane, 181
65-69 ani, Total, Dolj, 71199 BRATOVOESTI, Anul 2026, Numar persoane, 176
65-69 ani, Total, Dolj, 71260 BREASTA, Anul 2026, Numar persoane, 188
65-69 ani, Total, Dolj, 69964 BUCOVAT, Anul 2026, Numar persoane, 225
65-69 ani, Total, Dolj, 71340 BULZESTI, Anul 2026, Numar persoane, 71
65-69 ani, Total, Dolj, 71607 CALARASI, Anul 2026, Numar persoane, 314
65-69 ani, Total, Dolj, 71457 CALOPAR, Anul 2026, Numar persoane, 163
65-69 ani, Total, Dolj, 71518 CARAULA, Anul 2026, Numar persoane, 105
65-69 ani, Total, Dolj, 74859 CARCEA, Anul 2026, Numar persoane, 234
65-69 ani, Total, Dolj, 74867 CARNA, Anul 2026, Numar persoane, 58
65-69 ani, Total, Dolj, 71536 CARPEN, Anul 2026, Numar persoane, 89
65-69 ani, Total, Dolj, 71572 CASTRANOVA, Anul 2026, Numar persoane, 156
65-69 ani, Total, Dolj, 74842 CATANE, Anul 2026, Numar persoane, 71
65-69 ani, Total, Dolj, 71634 CELARU, Anul 2026, Numar persoane, 225
65-69 ani, Total, Dolj, 71698 CERAT, Anul 2026, Numar persoane, 159
65-69 ani, Total, Dolj, 71723 CERNATESTI, Anul 2026, Numar persoane, 78
65-69 ani, Total, Dolj, 71787 CETATE, Anul 2026, Numar persoane, 261
65-69 ani, Total, Dolj, 71812 CIOROIASI, Anul 2026, Numar persoane, 86
65-69 ani, Total, Dolj, 71858 CIUPERCENII NOI, Anul 2026, Numar persoane, 289
65-69 ani, Total, Dolj, 71885 COSOVENI, Anul 2026, Numar persoane, 191
65-69 ani, Total, Dolj, 71910 COTOFENII DIN DOS, Anul 2026, Numar persoane, 119
65-69 ani, Total, Dolj, 74875 COTOFENII DIN FATA, Anul 2026, Numar persoane, 80
65-69 ani, Total, Dolj, 71956 DANETI, Anul 2026, Numar persoane, 304
65-69 ani, Total, Dolj, 72034 DESA, Anul 2026, Numar persoane, 268
65-69 ani, Total, Dolj, 72052 DIOSTI, Anul 2026, Numar persoane, 155
65-69 ani, Total, Dolj, 72098 DOBRESTI, Anul 2026, Numar persoane, 116
65-69 ani, Total, Dolj, 74883 DOBROTESTI, Anul 2026, Numar persoane, 99
65-69 ani, Total, Dolj, 72150 DRAGOTESTI, Anul 2026, Numar persoane, 123
65-69 ani, Total, Dolj, 72221 DRANIC, Anul 2026, Numar persoane, 132
65-69 ani, Total, Dolj, 72276 FARCAS, Anul 2026, Numar persoane, 81
65-69 ani, Total, Dolj, 72383 GALICEA MARE, Anul 2026, Numar persoane, 224
65-69 ani, Total, Dolj, 74891 GALICIUICA, Anul 2026, Numar persoane, 83
65-69 ani, Total, Dolj, 72579 GANGIOVA, Anul 2026, Numar persoane, 94
65-69 ani, Total, Dolj, 72409 GHERCESTI, Anul 2026, Numar persoane, 121
65-69 ani, Total, Dolj, 74907 GHIDICI, Anul 2026, Numar persoane, 110
65-69 ani, Total, Dolj, 74915 GHINDENI, Anul 2026, Numar persoane, 86
65-69 ani, Total, Dolj, 72463 GIGHERA, Anul 2026, Numar persoane, 137
65-69 ani, Total, Dolj, 72506 GIUBEGA, Anul 2026, Numar persoane, 127
65-69 ani, Total, Dolj, 72533 GIURGITA, Anul 2026, Numar persoane, 153
65-69 ani, Total, Dolj, 72604 GOGOSU, Anul 2026, Numar persoane, 17
65-69 ani, Total, Dolj, 72640 GOICEA, Anul 2026, Numar persoane, 115
65-69 ani, Total, Dolj, 72677 GOIESTI, Anul 2026, Numar persoane, 129
65-69 ani, Total, Dolj, 72819 GRECESTI, Anul 2026, Numar persoane, 75
65-69 ani, Total, Dolj, 74923 INTORSURA, Anul 2026, Numar persoane, 74
65-69 ani, Total, Dolj, 70094 ISALNITA, Anul 2026, Numar persoane, 219
65-69 ani, Total, Dolj, 72882 IZVOARE, Anul 2026, Numar persoane, 89
65-69 ani, Total, Dolj, 72926 LEU, Anul 2026, Numar persoane, 292
65-69 ani, Total, Dolj, 72953 LIPOVU, Anul 2026, Numar persoane, 110
65-69 ani, Total, Dolj, 72980 MACESU DE JOS, Anul 2026, Numar persoane, 58
65-69 ani, Total, Dolj, 73013 MACESU DE SUS, Anul 2026, Numar persoane, 50
65-69 ani, Total, Dolj, 73031 MAGLAVIT, Anul 2026, Numar persoane, 284
65-69 ani, Total, Dolj, 73068 MALU MARE, Anul 2026, Numar persoane, 372
65-69 ani, Total, Dolj, 73317 MARSANI, Anul 2026, Numar persoane, 204
65-69 ani, Total, Dolj, 73102 MELINESTI, Anul 2026, Numar persoane, 187
65-69 ani, Total, Dolj, 73246 MISCHII, Anul 2026, Numar persoane, 121
65-69 ani, Total, Dolj, 73335 MOTATEI, Anul 2026, Numar persoane, 364
65-69 ani, Total, Dolj, 73371 MURGASI, Anul 2026, Numar persoane, 117
65-69 ani, Total, Dolj, 73460 NEGOI, Anul 2026, Numar persoane, 85
65-69 ani, Total, Dolj, 73503 ORODEL, Anul 2026, Numar persoane, 122
65-69 ani, Total, Dolj, 73567 OSTROVENI, Anul 2026, Numar persoane, 241
65-69 ani, Total, Dolj, 73594 PERISOR, Anul 2026, Numar persoane, 113
65-69 ani, Total, Dolj, 73629 PIELESTI, Anul 2026, Numar persoane, 285
65-69 ani, Total, Dolj, 73665 PISCU VECHI, Anul 2026, Numar persoane, 134
65-69 ani, Total, Dolj, 73709 PLENITA, Anul 2026, Numar persoane, 256
65-69 ani, Total, Dolj, 74931 PLESOI, Anul 2026, Numar persoane, 41
65-69 ani, Total, Dolj, 70110 PODARI, Anul 2026, Numar persoane, 394
65-69 ani, Total, Dolj, 73736 POIANA MARE, Anul 2026, Numar persoane, 580
65-69 ani, Total, Dolj, 73772 PREDESTI, Anul 2026, Numar persoane, 90
65-69 ani, Total, Dolj, 73852 RADOVAN, Anul 2026, Numar persoane, 78
65-69 ani, Total, Dolj, 73905 RAST, Anul 2026, Numar persoane, 166
65-69 ani, Total, Dolj, 73923 ROBANESTI, Anul 2026, Numar persoane, 155
65-69 ani, Total, Dolj, 74949 ROJISTE, Anul 2026, Numar persoane, 118
65-69 ani, Total, Dolj, 73996 SADOVA, Anul 2026, Numar persoane, 359
65-69 ani, Total, Dolj, 74028 SALCUTA, Anul 2026, Numar persoane, 72
65-69 ani, Total, Dolj, 74073 SCAESTI, Anul 2026, Numar persoane, 110
65-69 ani, Total, Dolj, 74108 SEACA DE CAMP, Anul 2026, Numar persoane, 103
65-69 ani, Total, Dolj, 74135 SEACA DE PADURE, Anul 2026, Numar persoane, 37
65-69 ani, Total, Dolj, 74171 SECU, Anul 2026, Numar persoane, 40
65-69 ani, Total, Dolj, 74224 SILISTEA CRUCII, Anul 2026, Numar persoane, 100
65-69 ani, Total, Dolj, 70174 SIMNICU DE SUS, Anul 2026, Numar persoane, 357
65-69 ani, Total, Dolj, 74242 SOPOT, Anul 2026, Numar persoane, 92
65-69 ani, Total, Dolj, 74956 TALPAS, Anul 2026, Numar persoane, 41
65-69 ani, Total, Dolj, 74322 TEASC, Anul 2026, Numar persoane, 170
65-69 ani, Total, Dolj, 74359 TERPEZITA, Anul 2026, Numar persoane, 76
65-69 ani, Total, Dolj, 74411 TESLUI, Anul 2026, Numar persoane, 116
65-69 ani, Total, Dolj, 74509 TUGLUI, Anul 2026, Numar persoane, 145
65-69 ani, Total, Dolj, 74536 UNIREA, Anul 2026, Numar persoane, 185
65-69 ani, Total, Dolj, 74554 URZICUTA, Anul 2026, Numar persoane, 135
65-69 ani, Total, Dolj, 74581 VALEA STANCIULUI, Anul 2026, Numar persoane, 220
65-69 ani, Total, Dolj, 74732 VARTOP, Anul 2026, Numar persoane, 65
65-69 ani, Total, Dolj, 74750 VARVORU DE JOS, Anul 2026, Numar persoane, 127
65-69 ani, Total, Dolj, 74616 VELA, Anul 2026, Numar persoane, 99
65-69 ani, Total, Dolj, 74705 VERBITA, Anul 2026, Numar persoane, 76
70-74 ani, Total, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2026, Numar persoane, 16137
70-74 ani, Total, Dolj, 70316 MUNICIPIUL BAILESTI, Anul 2026, Numar persoane, 969
70-74 ani, Total, Dolj, 70352 MUNICIPIUL CALAFAT, Anul 2026, Numar persoane, 979
70-74 ani, Total, Dolj, 70879 ORAS BECHET, Anul 2026, Numar persoane, 178
70-74 ani, Total, Dolj, 72007 ORAS DABULENI, Anul 2026, Numar persoane, 700
70-74 ani, Total, Dolj, 70414 ORAS FILIASI, Anul 2026, Numar persoane, 805
70-74 ani, Total, Dolj, 70502 ORAS SEGARCEA, Anul 2026, Numar persoane, 362
70-74 ani, Total, Dolj, 70520 AFUMATI, Anul 2026, Numar persoane, 153
70-74 ani, Total, Dolj, 70566 ALMAJ, Anul 2026, Numar persoane, 105
70-74 ani, Total, Dolj, 70637 AMARASTII DE JOS, Anul 2026, Numar persoane, 234
70-74 ani, Total, Dolj, 70673 AMARASTII DE SUS, Anul 2026, Numar persoane, 67
70-74 ani, Total, Dolj, 70726 APELE VII, Anul 2026, Numar persoane, 84
70-74 ani, Total, Dolj, 70744 ARGETOAIA, Anul 2026, Numar persoane, 171
70-74 ani, Total, Dolj, 70940 BARCA, Anul 2026, Numar persoane, 146
70-74 ani, Total, Dolj, 70897 BISTRET, Anul 2026, Numar persoane, 186
70-74 ani, Total, Dolj, 70968 BOTOSESTI-PAIA, Anul 2026, Numar persoane, 38
70-74 ani, Total, Dolj, 70986 BRABOVA, Anul 2026, Numar persoane, 67
70-74 ani, Total, Dolj, 71055 BRADESTI, Anul 2026, Numar persoane, 188
70-74 ani, Total, Dolj, 71126 BRALOSTITA, Anul 2026, Numar persoane, 136
70-74 ani, Total, Dolj, 71199 BRATOVOESTI, Anul 2026, Numar persoane, 159
70-74 ani, Total, Dolj, 71260 BREASTA, Anul 2026, Numar persoane, 164
70-74 ani, Total, Dolj, 69964 BUCOVAT, Anul 2026, Numar persoane, 168
70-74 ani, Total, Dolj, 71340 BULZESTI, Anul 2026, Numar persoane, 78
70-74 ani, Total, Dolj, 71607 CALARASI, Anul 2026, Numar persoane, 334
70-74 ani, Total, Dolj, 71457 CALOPAR, Anul 2026, Numar persoane, 125
