Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Suceava, 149414 MOARA, Anul 2026, Numar persoane, 7228
Total, Total, Suceava, 149502 MOLDOVA-SULITA, Anul 2026, Numar persoane, 1863
Total, Total, Suceava, 149539 MOLDOVITA, Anul 2026, Numar persoane, 5064
Total, Total, Suceava, 149584 MUSENITA, Anul 2026, Numar persoane, 1715
Total, Total, Suceava, 149655 OSTRA, Anul 2026, Numar persoane, 3359
Total, Total, Suceava, 149753 PALTINOASA, Anul 2026, Numar persoane, 6133
Total, Total, Suceava, 149682 PANACI, Anul 2026, Numar persoane, 2127
Total, Total, Suceava, 149780 PARTESTII DE JOS, Anul 2026, Numar persoane, 2724
Total, Total, Suceava, 149833 PATRAUTI, Anul 2026, Numar persoane, 5925
Total, Total, Suceava, 149851 POIANA STAMPEI, Anul 2026, Numar persoane, 2272
Total, Total, Suceava, 151585 POIENI-SOLCA, Anul 2026, Numar persoane, 2210
Total, Total, Suceava, 149931 POJORATA, Anul 2026, Numar persoane, 2877
Total, Total, Suceava, 149968 PREUTESTI, Anul 2026, Numar persoane, 6982
Total, Total, Suceava, 150043 PUTNA, Anul 2026, Numar persoane, 3922
Total, Total, Suceava, 150070 RADASENI, Anul 2026, Numar persoane, 3945
Total, Total, Suceava, 150114 RASCA, Anul 2026, Numar persoane, 5205
Total, Total, Suceava, 150178 SADOVA, Anul 2026, Numar persoane, 2607
Total, Total, Suceava, 150445 SARU DORNEI, Anul 2026, Numar persoane, 4073
Total, Total, Suceava, 150196 SATU MARE, Anul 2026, Numar persoane, 4762
Total, Total, Suceava, 146432 SCHEIA, Anul 2026, Numar persoane, 14862
Total, Total, Suceava, 151460 SERBAUTI, Anul 2026, Numar persoane, 3300
Total, Total, Suceava, 150221 SIMINICEA, Anul 2026, Numar persoane, 2860
Total, Total, Suceava, 150258 SLATINA, Anul 2026, Numar persoane, 5635
Total, Total, Suceava, 150294 STRAJA, Anul 2026, Numar persoane, 5911
Total, Total, Suceava, 150310 STROIESTI, Anul 2026, Numar persoane, 3334
Total, Total, Suceava, 150356 STULPICANI, Anul 2026, Numar persoane, 5908
Total, Total, Suceava, 150418 SUCEVITA, Anul 2026, Numar persoane, 3483
Total, Total, Suceava, 150524 TODIRESTI, Anul 2026, Numar persoane, 5445
Total, Total, Suceava, 150588 UDESTI, Anul 2026, Numar persoane, 8397
Total, Total, Suceava, 150702 ULMA, Anul 2026, Numar persoane, 2119
Total, Total, Suceava, 150766 VADU MOLDOVEI, Anul 2026, Numar persoane, 4462
Total, Total, Suceava, 150891 VALEA MOLDOVEI, Anul 2026, Numar persoane, 5051
Total, Total, Suceava, 150935 VAMA, Anul 2026, Numar persoane, 6175
Total, Total, Suceava, 150980 VATRA MOLDOVITEI, Anul 2026, Numar persoane, 4309
Total, Total, Suceava, 151022 VERESTI, Anul 2026, Numar persoane, 7291
Total, Total, Suceava, 151077 VICOVU DE JOS, Anul 2026, Numar persoane, 7049
Total, Total, Suceava, 151558 VOITINEL, Anul 2026, Numar persoane, 6187
Total, Total, Suceava, 151120 VOLOVAT, Anul 2026, Numar persoane, 6461
Total, Total, Suceava, 151157 VULTURESTI, Anul 2026, Numar persoane, 3422
Total, Total, Suceava, 151246 ZAMOSTEA, Anul 2026, Numar persoane, 2925
Total, Total, Suceava, 151344 ZVORISTEA, Anul 2026, Numar persoane, 6019
65-69 ani, Total, Suceava, 146263 MUNICIPIUL SUCEAVA, Anul 2026, Numar persoane, 7378
65-69 ani, Total, Suceava, 146502 MUNICIPIUL CAMPULUNG MOLDOVENESC, Anul 2026, Numar persoane, 1284
65-69 ani, Total, Suceava, 146539 MUNICIPIUL FALTICENI, Anul 2026, Numar persoane, 2054
65-69 ani, Total, Suceava, 146628 MUNICIPIUL RADAUTI, Anul 2026, Numar persoane, 2021
65-69 ani, Total, Suceava, 146744 MUNICIPIUL VATRA DORNEI, Anul 2026, Numar persoane, 1007
65-69 ani, Total, Suceava, 147358 ORAS BROSTENI, Anul 2026, Numar persoane, 358
65-69 ani, Total, Suceava, 147633 ORAS CAJVANA, Anul 2026, Numar persoane, 364
65-69 ani, Total, Suceava, 148006 ORAS DOLHASCA, Anul 2026, Numar persoane, 492
65-69 ani, Total, Suceava, 148612 ORAS FRASIN, Anul 2026, Numar persoane, 380
65-69 ani, Total, Suceava, 146584 ORAS GURA HUMORULUI, Anul 2026, Numar persoane, 959
65-69 ani, Total, Suceava, 149227 ORAS LITENI, Anul 2026, Numar persoane, 367
65-69 ani, Total, Suceava, 146931 ORAS MILISAUTI, Anul 2026, Numar persoane, 284
65-69 ani, Total, Suceava, 146370 ORAS SALCEA, Anul 2026, Numar persoane, 418
