Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
65-69 ani, Total, Ialomita, 100754 ADANCATA, Anul 2026, Numar persoane, 97
65-69 ani, Total, Ialomita, 92783 ALBESTI, Anul 2026, Numar persoane, 54
65-69 ani, Total, Ialomita, 100852 ALEXENI, Anul 2026, Numar persoane, 101
65-69 ani, Total, Ialomita, 92872 ANDRASESTI, Anul 2026, Numar persoane, 109
65-69 ani, Total, Ialomita, 100870 ARMASESTI, Anul 2026, Numar persoane, 97
65-69 ani, Total, Ialomita, 100923 AXINTELE, Anul 2026, Numar persoane, 102
65-69 ani, Total, Ialomita, 92907 BALACIU, Anul 2026, Numar persoane, 49
65-69 ani, Total, Ialomita, 180064 BARBULESTI, Anul 2026, Numar persoane, 117
65-69 ani, Total, Ialomita, 101056 BARCANESTI, Anul 2026, Numar persoane, 119
65-69 ani, Total, Ialomita, 179784 BORANESTI, Anul 2026, Numar persoane, 89
65-69 ani, Total, Ialomita, 92989 BORDUSANI, Anul 2026, Numar persoane, 254
65-69 ani, Total, Ialomita, 93021 BUCU, Anul 2026, Numar persoane, 136
65-69 ani, Total, Ialomita, 179793 BUESTI, Anul 2026, Numar persoane, 52
65-69 ani, Total, Ialomita, 100709 CIOCARLIA, Anul 2026, Numar persoane, 37
65-69 ani, Total, Ialomita, 93101 CIOCHINA, Anul 2026, Numar persoane, 122
65-69 ani, Total, Ialomita, 93156 CIULNITA, Anul 2026, Numar persoane, 126
65-69 ani, Total, Ialomita, 93209 COCORA, Anul 2026, Numar persoane, 103
65-69 ani, Total, Ialomita, 179971 COLELIA, Anul 2026, Numar persoane, 55
65-69 ani, Total, Ialomita, 93236 COSAMBESTI, Anul 2026, Numar persoane, 98
65-69 ani, Total, Ialomita, 102240 COSERENI, Anul 2026, Numar persoane, 185
65-69 ani, Total, Ialomita, 102641 DRAGOESTI, Anul 2026, Numar persoane, 39
65-69 ani, Total, Ialomita, 102703 DRIDU, Anul 2026, Numar persoane, 148
65-69 ani, Total, Ialomita, 93575 FACAENI, Anul 2026, Numar persoane, 244
65-69 ani, Total, Ialomita, 103283 GARBOVI, Anul 2026, Numar persoane, 189
65-69 ani, Total, Ialomita, 93600 GHEORGHE DOJA, Anul 2026, Numar persoane, 117
65-69 ani, Total, Ialomita, 93628 GHEORGHE LAZAR, Anul 2026, Numar persoane, 112
65-69 ani, Total, Ialomita, 93646 GIURGENI, Anul 2026, Numar persoane, 66
65-69 ani, Total, Ialomita, 93717 GRINDU, Anul 2026, Numar persoane, 65
65-69 ani, Total, Ialomita, 93735 GRIVITA, Anul 2026, Numar persoane, 150
65-69 ani, Total, Ialomita, 180046 GURA IALOMITEI, Anul 2026, Numar persoane, 119
65-69 ani, Total, Ialomita, 103862 ION ROATA, Anul 2026, Numar persoane, 130
65-69 ani, Total, Ialomita, 103960 JILAVELE, Anul 2026, Numar persoane, 131
65-69 ani, Total, Ialomita, 179800 MAIA, Anul 2026, Numar persoane, 69
65-69 ani, Total, Ialomita, 100736 MANASIA, Anul 2026, Numar persoane, 249
65-69 ani, Total, Ialomita, 179980 MARCULESTI, Anul 2026, Numar persoane, 86
65-69 ani, Total, Ialomita, 93995 MIHAIL KOGALNICEANU, Anul 2026, Numar persoane, 177
65-69 ani, Total, Ialomita, 94045 MILOSESTI, Anul 2026, Numar persoane, 129
65-69 ani, Total, Ialomita, 179999 MOLDOVENI, Anul 2026, Numar persoane, 42
65-69 ani, Total, Ialomita, 94081 MOVILA, Anul 2026, Numar persoane, 90
65-69 ani, Total, Ialomita, 104270 MOVILITA, Anul 2026, Numar persoane, 106
65-69 ani, Total, Ialomita, 94107 MUNTENI-BUZAU, Anul 2026, Numar persoane, 136
65-69 ani, Total, Ialomita, 179819 OGRADA, Anul 2026, Numar persoane, 107
65-69 ani, Total, Ialomita, 94161 PERIETI, Anul 2026, Numar persoane, 196
65-69 ani, Total, Ialomita, 180000 PLATONESTI, Anul 2026, Numar persoane, 110
65-69 ani, Total, Ialomita, 101243 RADULESTI, Anul 2026, Numar persoane, 30
65-69 ani, Total, Ialomita, 94269 REVIGA, Anul 2026, Numar persoane, 124
65-69 ani, Total, Ialomita, 179828 ROSIORI, Anul 2026, Numar persoane, 70
65-69 ani, Total, Ialomita, 94330 SALCIOARA, Anul 2026, Numar persoane, 90
65-69 ani, Total, Ialomita, 180019 SARATENI, Anul 2026, Numar persoane, 43
65-69 ani, Total, Ialomita, 94376 SAVENI, Anul 2026, Numar persoane, 176
65-69 ani, Total, Ialomita, 94429 SCANTEIA, Anul 2026, Numar persoane, 189
65-69 ani, Total, Ialomita, 94456 SFANTU GHEORGHE, Anul 2026, Numar persoane, 97
65-69 ani, Total, Ialomita, 105026 SINESTI, Anul 2026, Numar persoane, 118
65-69 ani, Total, Ialomita, 94492 STELNICA, Anul 2026, Numar persoane, 73
65-69 ani, Total, Ialomita, 94535 SUDITI, Anul 2026, Numar persoane, 106
65-69 ani, Total, Ialomita, 179702 TRAIAN, Anul 2026, Numar persoane, 146
65-69 ani, Total, Ialomita, 94688 VALEA CIORII, Anul 2026, Numar persoane, 92
65-69 ani, Total, Ialomita, 105794 VALEA MACRISULUI, Anul 2026, Numar persoane, 73
65-69 ani, Total, Ialomita, 94795 VLADENI, Anul 2026, Numar persoane, 102
70-74 ani, Total, Ialomita, 92658 MUNICIPIUL SLOBOZIA, Anul 2026, Numar persoane, 3203
70-74 ani, Total, Ialomita, 92701 MUNICIPIUL FETESTI, Anul 2026, Numar persoane, 1765
70-74 ani, Total, Ialomita, 100683 MUNICIPIUL URZICENI, Anul 2026, Numar persoane, 1007
70-74 ani, Total, Ialomita, 92836 ORAS AMARA, Anul 2026, Numar persoane, 441
70-74 ani, Total, Ialomita, 93067 ORAS CAZANESTI, Anul 2026, Numar persoane, 159
70-74 ani, Total, Ialomita, 102749 ORAS FIERBINTI-TARG, Anul 2026, Numar persoane, 211
70-74 ani, Total, Ialomita, 92765 ORAS TANDAREI, Anul 2026, Numar persoane, 508
70-74 ani, Total, Ialomita, 100754 ADANCATA, Anul 2026, Numar persoane, 105
70-74 ani, Total, Ialomita, 92783 ALBESTI, Anul 2026, Numar persoane, 42
70-74 ani, Total, Ialomita, 100852 ALEXENI, Anul 2026, Numar persoane, 107
70-74 ani, Total, Ialomita, 92872 ANDRASESTI, Anul 2026, Numar persoane, 97
70-74 ani, Total, Ialomita, 100870 ARMASESTI, Anul 2026, Numar persoane, 112
70-74 ani, Total, Ialomita, 100923 AXINTELE, Anul 2026, Numar persoane, 80
70-74 ani, Total, Ialomita, 92907 BALACIU, Anul 2026, Numar persoane, 74
70-74 ani, Total, Ialomita, 180064 BARBULESTI, Anul 2026, Numar persoane, 75
70-74 ani, Total, Ialomita, 101056 BARCANESTI, Anul 2026, Numar persoane, 138
70-74 ani, Total, Ialomita, 179784 BORANESTI, Anul 2026, Numar persoane, 67
70-74 ani, Total, Ialomita, 92989 BORDUSANI, Anul 2026, Numar persoane, 198
70-74 ani, Total, Ialomita, 93021 BUCU, Anul 2026, Numar persoane, 115
70-74 ani, Total, Ialomita, 179793 BUESTI, Anul 2026, Numar persoane, 48
70-74 ani, Total, Ialomita, 100709 CIOCARLIA, Anul 2026, Numar persoane, 28
70-74 ani, Total, Ialomita, 93101 CIOCHINA, Anul 2026, Numar persoane, 116
70-74 ani, Total, Ialomita, 93156 CIULNITA, Anul 2026, Numar persoane, 113
70-74 ani, Total, Ialomita, 93209 COCORA, Anul 2026, Numar persoane, 91
70-74 ani, Total, Ialomita, 179971 COLELIA, Anul 2026, Numar persoane, 54
70-74 ani, Total, Ialomita, 93236 COSAMBESTI, Anul 2026, Numar persoane, 81
70-74 ani, Total, Ialomita, 102240 COSERENI, Anul 2026, Numar persoane, 215
70-74 ani, Total, Ialomita, 102641 DRAGOESTI, Anul 2026, Numar persoane, 47
70-74 ani, Total, Ialomita, 102703 DRIDU, Anul 2026, Numar persoane, 123
70-74 ani, Total, Ialomita, 93575 FACAENI, Anul 2026, Numar persoane, 206
70-74 ani, Total, Ialomita, 103283 GARBOVI, Anul 2026, Numar persoane, 182
70-74 ani, Total, Ialomita, 93600 GHEORGHE DOJA, Anul 2026, Numar persoane, 147
70-74 ani, Total, Ialomita, 93628 GHEORGHE LAZAR, Anul 2026, Numar persoane, 113
70-74 ani, Total, Ialomita, 93646 GIURGENI, Anul 2026, Numar persoane, 75
70-74 ani, Total, Ialomita, 93717 GRINDU, Anul 2026, Numar persoane, 81
70-74 ani, Total, Ialomita, 93735 GRIVITA, Anul 2026, Numar persoane, 145
70-74 ani, Total, Ialomita, 180046 GURA IALOMITEI, Anul 2026, Numar persoane, 115
70-74 ani, Total, Ialomita, 103862 ION ROATA, Anul 2026, Numar persoane, 167
70-74 ani, Total, Ialomita, 103960 JILAVELE, Anul 2026, Numar persoane, 146
70-74 ani, Total, Ialomita, 179800 MAIA, Anul 2026, Numar persoane, 68
70-74 ani, Total, Ialomita, 100736 MANASIA, Anul 2026, Numar persoane, 226
70-74 ani, Total, Ialomita, 179980 MARCULESTI, Anul 2026, Numar persoane, 75
70-74 ani, Total, Ialomita, 93995 MIHAIL KOGALNICEANU, Anul 2026, Numar persoane, 127
