Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
65-69 ani, Total, Brasov, 40768 CATA, Anul 2026, Numar persoane, 108
65-69 ani, Total, Brasov, 40820 CINCU, Anul 2026, Numar persoane, 97
65-69 ani, Total, Brasov, 40857 COMANA, Anul 2026, Numar persoane, 115
65-69 ani, Total, Brasov, 40900 CRISTIAN, Anul 2026, Numar persoane, 374
65-69 ani, Total, Brasov, 42456 CRIZBAV, Anul 2026, Numar persoane, 93
65-69 ani, Total, Brasov, 42480 DRAGUS, Anul 2026, Numar persoane, 76
65-69 ani, Total, Brasov, 40928 DUMBRAVITA, Anul 2026, Numar persoane, 258
65-69 ani, Total, Brasov, 40955 FELDIOARA, Anul 2026, Numar persoane, 411
65-69 ani, Total, Brasov, 40991 FUNDATA, Anul 2026, Numar persoane, 50
65-69 ani, Total, Brasov, 41033 HALCHIU, Anul 2026, Numar persoane, 256
65-69 ani, Total, Brasov, 41088 HARMAN, Anul 2026, Numar persoane, 428
65-69 ani, Total, Brasov, 41113 HARSENI, Anul 2026, Numar persoane, 152
65-69 ani, Total, Brasov, 41177 HOGHIZ, Anul 2026, Numar persoane, 256
65-69 ani, Total, Brasov, 42472 HOLBAV, Anul 2026, Numar persoane, 54
65-69 ani, Total, Brasov, 41248 HOMOROD, Anul 2026, Numar persoane, 124
65-69 ani, Total, Brasov, 41284 JIBERT, Anul 2026, Numar persoane, 116
65-69 ani, Total, Brasov, 41346 LISA, Anul 2026, Numar persoane, 99
65-69 ani, Total, Brasov, 41382 MAIERUS, Anul 2026, Numar persoane, 151
65-69 ani, Total, Brasov, 41417 MANDRA, Anul 2026, Numar persoane, 187
65-69 ani, Total, Brasov, 41471 MOIECIU, Anul 2026, Numar persoane, 256
65-69 ani, Total, Brasov, 41541 ORMENIS, Anul 2026, Numar persoane, 85
65-69 ani, Total, Brasov, 41578 PARAU, Anul 2026, Numar persoane, 93
65-69 ani, Total, Brasov, 41621 POIANA MARULUI, Anul 2026, Numar persoane, 162
65-69 ani, Total, Brasov, 41667 PREJMER, Anul 2026, Numar persoane, 576
65-69 ani, Total, Brasov, 41701 RACOS, Anul 2026, Numar persoane, 148
